Player,Age,Nation,Pos,Team,Performance-Gls,Performance-Ast,Performance-G+A,Performance-G-PK,Performance-PK,Performance-CrdY,Performance-CrdR,Playing Time-Min,Playing Time-MP,Playing Time-90s,Progression-PrgC,Progression-PrgP,Progression-PrgR,Expected-xG,Expected-npxG,Standard-Sh,Standard-SoT,PPA,CrsPA,KP,Total-Cmp%,Team Success-PPM,Team Success-+/-90,Tackles-Tkl,Performance-Int,Blocks-Sh,Clr,Balanced_Performance
Trevoh Chalobah,24.0,eng ENG,DF,Chelsea,1.0,0.0,1.0,1.0,0.0,1.0,0.0,952.0,13.0,10.6,5.0,31.0,9.0,0.2,0.2,2.0,2.0,2.0,0.0,2.0,89.4,2.15,1.61,16.0,8.0,7.0,51.0,82.5
Tyrone Mings,30.0,eng ENG,DF,Aston-Villa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0,0.0,-3.0,0.0,1.0,0.0,1.0,3.5
Valentino Livramento,20.0,eng ENG,DF,Newcastle-United,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1314.0,26.0,14.6,44.0,61.0,76.0,0.4,0.4,4.0,2.0,16.0,3.0,12.0,85.9,1.73,0.27,23.0,25.0,7.0,41.0,132.0
Victor Lindelöf,29.0,se SWE,DF,Manchester-United,1.0,1.0,2.0,1.0,0.0,2.0,0.0,1328.0,19.0,14.8,17.0,40.0,17.0,0.8,0.8,6.0,4.0,3.0,0.0,8.0,89.1,1.95,0.14,15.0,12.0,9.0,40.0,94.0
Vinicius Souza,24.0,br BRA,MF,Sheffield-United,1.0,0.0,1.0,1.0,0.0,3.0,0.0,2668.0,36.0,29.6,7.0,66.0,21.0,0.6,0.6,14.0,6.0,5.0,1.0,4.0,79.5,0.44,-1.79,125.0,32.0,17.0,75.0,361.5
Vladimír Coufal,30.0,cz CZE,DF,West-Ham-United,0.0,7.0,7.0,0.0,0.0,7.0,1.0,3132.0,36.0,34.8,68.0,119.0,126.0,0.3,0.3,8.0,2.0,38.0,21.0,33.0,69.3,1.39,-0.34,64.0,43.0,15.0,97.0,319.5
Wes Foderingham,32.0,eng ENG,GK,Sheffield-United,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2649.0,30.0,29.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,56.5,0.43,-1.87,5.0,0.0,0.0,18.0,20.5
Wilfried Gnonto,19.0,it ITA,"FW,MF",Nott'ham-Forest,8.0,2.0,10.0,8.0,0.0,4.0,0.0,1653.0,36.0,18.4,88.0,78.0,208.0,5.3,5.3,47.0,16.0,35.0,8.0,22.0,78.1,1.9,0.44,33.0,4.0,1.0,21.0,144.5
William Osula,19.0,dk DEN,FW,Sheffield-United,0.0,0.0,0.0,0.0,0.0,4.0,0.0,786.0,21.0,8.7,7.0,2.0,41.0,1.6,1.6,21.0,8.0,2.0,1.0,1.0,52.7,0.29,-2.18,2.0,2.0,1.0,9.0,14.0
Willy Kambwala,18.0,fr FRA,DF,Manchester-United,0.0,0.0,0.0,0.0,0.0,1.0,0.0,330.0,8.0,3.7,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.9,1.0,-1.36,3.0,4.0,3.0,14.0,22.0
Yasser Larouci,22.0,dz ALG,DF,Sheffield-United,0.0,0.0,0.0,0.0,0.0,1.0,0.0,531.0,11.0,5.9,18.0,14.0,12.0,0.2,0.2,6.0,1.0,0.0,0.0,2.0,70.8,0.18,-1.02,17.0,7.0,1.0,20.0,58.5
Youri Tielemans,26.0,be BEL,"MF,FW",Aston-Villa,2.0,6.0,8.0,2.0,0.0,3.0,0.0,1622.0,32.0,18.0,23.0,128.0,46.0,1.3,1.3,14.0,5.0,25.0,1.0,18.0,83.1,1.91,0.72,41.0,15.0,3.0,9.0,157.0
Zack Nelson,18.0,eng ENG,"MF,DF",Luton-Town,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.5,0.0,1.0,0.0,0.0,0.0,2.0
Álex Moreno,30.0,es ESP,DF,Aston-Villa,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1031.0,21.0,11.5,32.0,24.0,83.0,1.1,1.1,8.0,4.0,13.0,2.0,11.0,79.0,1.67,0.35,18.0,13.0,2.0,37.0,98.5
Đorđe Petrović,23.0,rs SRB,GK,Chelsea,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1987.0,23.0,22.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.8,1.91,0.59,0.0,0.0,0.0,12.0,6.0
Łukasz Fabiański,38.0,pl POL,GK,West-Ham-United,0.0,0.0,0.0,0.0,0.0,0.0,0.0,721.0,10.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.9,1.1,-1.25,1.0,1.0,0.0,4.0,5.5
