Player,Age,Nation,Pos,Team,Performance-Gls,Performance-Ast,Performance-G+A,Performance-G-PK,Performance-PK,Performance-CrdY,Performance-CrdR,Playing Time-Min,Playing Time-MP,Playing Time-90s,Progression-PrgC,Progression-PrgP,Progression-PrgR,Expected-xG,Expected-npxG,Standard-Sh,Standard-SoT,PPA,CrsPA,KP,Total-Cmp%,Team Success-PPM,Team Success-+/-90,Tackles-Tkl,Performance-Int,Blocks-Sh,Clr,Balanced_Performance
Carney Chukwuemeka,19.0,eng ENG,"MF,FW",Chelsea,1.0,1.0,2.0,1.0,0.0,2.0,0.0,227.0,9.0,2.5,4.0,12.0,19.0,0.2,0.2,3.0,2.0,6.0,0.0,4.0,85.8,1.56,0.79,6.0,0.0,1.0,1.0,24.5
Casemiro,31.0,br BRA,"MF,DF",Manchester-United,1.0,2.0,3.0,1.0,0.0,7.0,0.0,1982.0,25.0,22.0,12.0,112.0,36.0,3.5,3.5,39.0,9.0,18.0,3.0,16.0,81.8,1.6,0.09,83.0,18.0,33.0,71.0,292.5
Cauley Woodrow,28.0,eng ENG,"FW,MF",Luton-Town,1.0,1.0,2.0,1.0,0.0,2.0,0.0,427.0,24.0,4.7,7.0,6.0,22.0,1.4,1.4,16.0,4.0,4.0,4.0,9.0,72.4,0.63,-0.21,16.0,1.0,1.0,14.0,60.0
Cesare Casadei,20.0,it ITA,"FW,MF",Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,11.0,0.9,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,81.5,1.91,-1.14,5.0,0.0,0.0,4.0,15.0
Charlie Cresswell,20.0,eng ENG,DF,Nott'ham-Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,5.0,1.5,3.0,7.0,0.0,0.1,0.1,2.0,0.0,0.0,0.0,0.0,87.5,2.0,-0.66,3.0,3.0,3.0,6.0,16.5
Chiedozie Ogbene,26.0,ie IRL,"MF,DF",Luton-Town,4.0,1.0,5.0,4.0,0.0,1.0,0.0,1995.0,30.0,22.2,127.0,53.0,150.0,4.2,4.2,35.0,14.0,18.0,5.0,25.0,74.6,0.73,-0.54,17.0,7.0,3.0,34.0,116.0
Chris Basham,35.0,eng ENG,"DF,MF",Sheffield-United,0.0,0.0,0.0,0.0,0.0,1.0,0.0,321.0,8.0,3.6,1.0,7.0,6.0,0.1,0.1,2.0,0.0,2.0,0.0,2.0,74.6,0.13,-1.12,7.0,5.0,4.0,17.0,37.0
Chris Maxwell,33.0,wls WAL,GK,Brentford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,696.0,9.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.4,1.11,-0.39,0.0,0.0,0.0,4.0,2.0
Christian Eriksen,31.0,dk DEN,MF,Manchester-United,1.0,2.0,3.0,1.0,0.0,1.0,0.0,1141.0,22.0,12.7,20.0,68.0,23.0,1.0,1.0,13.0,4.0,17.0,3.0,27.0,80.5,1.45,-0.55,18.0,4.0,6.0,13.0,102.0
Christopher Nkunku,25.0,fr FRA,"FW,MF",Chelsea,3.0,0.0,3.0,3.0,0.0,0.0,0.0,443.0,11.0,4.9,10.0,19.0,35.0,2.3,2.3,16.0,7.0,7.0,0.0,3.0,86.9,2.0,0.0,5.0,2.0,1.0,4.0,29.5
Clément Lenglet,28.0,fr FRA,DF,Aston-Villa,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1153.0,14.0,12.8,26.0,51.0,1.0,0.9,0.9,8.0,2.0,3.0,0.0,2.0,89.5,1.29,-0.39,13.0,7.0,11.0,47.0,76.0
Cody Drameh,21.0,eng ENG,DF,Nott'ham-Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,66.7,3.0,-4.09,1.0,1.0,1.0,0.0,6.0
Cole Palmer,21.0,eng ENG,MF,Chelsea,22.0,11.0,33.0,13.0,9.0,0.0,0.0,11.0,33.0,0.1,117.0,197.0,195.0,18.2,11.1,100.0,37.0,69.0,5.0,72.0,79.2,3.0,0.0,23.0,0.0,2.0,13.0,250.5
Connor Roberts,27.0,wls WAL,"DF,FW",Nott'ham-Forest,1.0,1.0,2.0,1.0,0.0,1.0,0.0,317.0,12.0,3.5,11.0,25.0,25.0,0.4,0.4,6.0,4.0,3.0,2.0,7.0,83.4,1.86,1.42,5.0,1.0,0.0,8.0,31.0
Conor Gallagher,23.0,eng ENG,MF,Chelsea,5.0,7.0,12.0,5.0,0.0,9.0,1.0,3128.0,37.0,34.8,62.0,172.0,122.0,4.2,4.2,48.0,17.0,32.0,4.0,52.0,89.2,1.7,0.4,85.0,43.0,11.0,34.0,369.5
Crysencio Summerville,21.0,nl NED,FW,Nott'ham-Forest,19.0,9.0,28.0,15.0,4.0,7.0,0.0,3498.0,43.0,38.9,196.0,171.0,367.0,16.4,12.5,123.0,46.0,68.0,3.0,112.0,78.0,1.96,0.93,61.0,22.0,1.0,23.0,410.5
Daiki Hashioka,24.0,jp JPN,DF,Luton-Town,0.0,0.0,0.0,0.0,0.0,0.0,0.0,595.0,10.0,6.6,3.0,21.0,16.0,0.1,0.1,2.0,0.0,4.0,3.0,3.0,80.5,0.4,-1.66,11.0,8.0,7.0,20.0,55.5
Dan Burn,31.0,eng ENG,DF,Newcastle-United,2.0,2.0,4.0,2.0,0.0,4.0,0.0,2726.0,33.0,30.3,14.0,75.0,25.0,3.1,3.1,23.0,5.0,7.0,3.0,10.0,81.0,1.64,0.96,61.0,37.0,25.0,124.0,289.5
Daniel Bentley,30.0,eng ENG,GK,Wolverhampton-Wanderers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.0,5.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,0.6,-0.94,0.0,0.0,0.0,1.0,0.5
Daniel James,25.0,wls WAL,FW,Nott'ham-Forest,13.0,7.0,20.0,13.0,0.0,4.0,0.0,2488.0,40.0,27.6,120.0,104.0,321.0,10.0,10.0,83.0,31.0,57.0,18.0,57.0,63.4,1.95,0.94,31.0,8.0,2.0,11.0,220.0
Daniel Jebbison,19.0,eng ENG,FW,Sheffield-United,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danny Ings,31.0,eng ENG,FW,West-Ham-United,1.0,0.0,1.0,1.0,0.0,1.0,0.0,404.0,20.0,4.5,7.0,8.0,29.0,1.3,1.3,12.0,4.0,3.0,0.0,5.0,71.0,0.95,-1.11,6.0,3.0,1.0,7.0,31.5
David Raya,27.0,es ESP,GK,Arsenal,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2880.0,32.0,32.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.9,2.28,1.75,1.0,0.0,0.0,8.0,6.0
Dean Henderson,26.0,eng ENG,GK,Crystal-Palace,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1620.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,57.7,1.56,0.33,1.0,0.0,0.0,8.0,6.0
Deivid Washington,18.0,br BRA,"DF,FW",Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,0.1,0.0,0.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,100.0,1.5,0.0,1.0,0.0,0.0,0.0,2.0
Diego Carlos,30.0,br BRA,DF,Aston-Villa,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1816.0,27.0,20.2,4.0,59.0,1.0,1.9,1.9,10.0,1.0,4.0,0.0,3.0,88.4,1.56,-0.05,27.0,13.0,19.0,78.0,136.0
Diogo Dalot,24.0,pt POR,DF,Manchester-United,2.0,3.0,5.0,2.0,0.0,6.0,1.0,3174.0,36.0,35.3,52.0,124.0,111.0,1.7,1.7,30.0,7.0,31.0,16.0,37.0,81.2,1.58,0.03,81.0,37.0,16.0,111.0,356.5
Divin Mubama,18.0,eng ENG,FW,West-Ham-United,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,5.0,0.9,0.0,0.0,5.0,0.1,0.1,1.0,0.0,0.0,0.0,0.0,72.7,1.6,0.0,0.0,0.0,0.0,0.0,0.0
Djed Spence,22.0,eng ENG,DF,Nott'ham-Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387.0,7.0,4.3,16.0,15.0,43.0,0.1,0.1,2.0,0.0,4.0,1.0,5.0,85.4,1.14,0.47,17.0,8.0,4.0,11.0,63.0
Donny van de Beek,26.0,nl NED,DF,Manchester-United,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
Douglas Luiz,25.0,br BRA,MF,Aston-Villa,9.0,5.0,14.0,5.0,4.0,12.0,0.0,2993.0,35.0,33.3,60.0,168.0,50.0,6.9,3.8,44.0,13.0,39.0,8.0,53.0,85.7,1.69,0.24,58.0,23.0,8.0,18.0,284.0
Ederson,29.0,br BRA,GK,Manchester-City,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2785.0,33.0,30.9,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,87.3,2.36,1.65,0.0,0.0,0.0,10.0,6.5
Edson Álvarez,25.0,mx MEX,MF,West-Ham-United,1.0,1.0,2.0,1.0,0.0,11.0,0.0,2377.0,31.0,26.4,20.0,91.0,26.0,1.3,1.3,17.0,3.0,6.0,1.0,12.0,85.6,1.48,-0.19,80.0,42.0,20.0,81.0,306.5
Elijah Adebayo,25.0,eng ENG,FW,Luton-Town,10.0,0.0,10.0,10.0,0.0,1.0,0.0,1419.0,27.0,15.8,16.0,23.0,110.0,5.9,5.9,31.0,14.0,4.0,0.0,14.0,70.6,0.78,-0.38,4.0,6.0,2.0,25.0,82.5
Elliot Anderson,20.0,eng ENG,"MF,FW",Newcastle-United,0.0,2.0,2.0,0.0,0.0,3.0,0.0,1027.0,21.0,11.4,37.0,57.0,70.0,1.5,1.5,19.0,4.0,12.0,0.0,15.0,80.4,1.86,1.4,24.0,8.0,4.0,23.0,102.0
Emerson Palmieri,28.0,it ITA,DF,West-Ham-United,1.0,2.0,3.0,1.0,0.0,10.0,0.0,3137.0,36.0,34.9,59.0,125.0,124.0,1.5,1.5,19.0,4.0,22.0,7.0,25.0,81.4,1.42,-0.26,106.0,43.0,15.0,96.0,384.0
Emil Krafth,28.0,se SWE,DF,Newcastle-United,0.0,0.0,0.0,0.0,0.0,2.0,0.0,913.0,17.0,10.1,12.0,29.0,33.0,0.2,0.2,4.0,0.0,13.0,7.0,9.0,84.1,1.71,1.08,21.0,9.0,3.0,21.0,82.5
Emiliano Martínez,30.0,ar ARG,GK,Aston-Villa,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3015.0,34.0,33.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,82.9,1.91,0.72,0.0,0.0,0.0,12.0,9.0
Enzo Fernández,22.0,ar ARG,MF,Chelsea,3.0,2.0,5.0,2.0,1.0,7.0,0.0,2209.0,28.0,24.5,52.0,210.0,54.0,6.2,4.6,45.0,13.0,43.0,4.0,32.0,84.5,1.46,-0.24,50.0,17.0,13.0,28.0,213.5
Ethan Ampadu,22.0,wls WAL,"MF,DF",Nott'ham-Forest,0.0,1.0,1.0,0.0,0.0,9.0,0.0,4138.0,46.0,46.0,55.0,237.0,18.0,2.3,2.3,29.0,6.0,20.0,0.0,36.0,88.1,1.92,0.83,70.0,64.0,36.0,111.0,383.5
Ezri Konsa,25.0,eng ENG,DF,Aston-Villa,1.0,0.0,1.0,1.0,0.0,5.0,0.0,3069.0,35.0,34.1,37.0,136.0,33.0,2.5,2.5,19.0,5.0,14.0,2.0,8.0,91.1,1.77,0.41,54.0,28.0,20.0,73.0,221.5
Fabian Schär,31.0,ch SUI,DF,Newcastle-United,4.0,1.0,5.0,4.0,0.0,5.0,0.0,3054.0,36.0,33.9,28.0,133.0,20.0,2.5,2.5,35.0,9.0,18.0,3.0,10.0,82.8,1.56,0.41,42.0,36.0,38.0,133.0,271.5
Facundo Pellistri,21.0,uy URU,"FW,MF",Manchester-United,0.0,1.0,1.0,0.0,0.0,0.0,0.0,172.0,9.0,1.9,6.0,6.0,31.0,0.7,0.7,4.0,2.0,2.0,0.0,1.0,75.9,1.11,0.0,5.0,1.0,1.0,5.0,18.5
Finley Munroe,18.0,eng ENG,MF,Aston-Villa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fred Onyedinma,26.0,eng ENG,"DF,MF",Luton-Town,0.0,0.0,0.0,0.0,0.0,1.0,0.0,407.0,8.0,4.5,9.0,6.0,21.0,0.2,0.2,5.0,2.0,2.0,1.0,2.0,67.4,0.5,-1.77,10.0,1.0,0.0,13.0,31.0
Gabriel Osho,24.0,ng NGA,DF,Luton-Town,2.0,0.0,2.0,2.0,0.0,3.0,0.0,1846.0,21.0,20.5,10.0,37.0,4.0,1.1,1.1,10.0,2.0,3.0,1.0,2.0,82.2,0.81,-0.78,41.0,31.0,20.0,92.0,203.5
George Baldock,30.0,gr GRE,DF,Sheffield-United,0.0,1.0,1.0,0.0,0.0,4.0,0.0,969.0,13.0,10.8,9.0,31.0,24.0,0.0,0.0,1.0,0.0,11.0,4.0,7.0,73.3,0.54,-0.93,18.0,10.0,8.0,33.0,88.0
George Earthy,18.0,eng ENG,FW,West-Ham-United,1.0,0.0,1.0,1.0,0.0,0.0,0.0,34.0,3.0,0.4,0.0,1.0,3.0,0.3,0.3,1.0,1.0,0.0,0.0,0.0,94.1,1.0,2.65,0.0,1.0,0.0,0.0,4.5
Georginio Rutter,21.0,fr FRA,"FW,MF",Nott'ham-Forest,6.0,16.0,22.0,6.0,0.0,6.0,0.0,3736.0,45.0,41.5,120.0,185.0,270.0,12.3,12.3,122.0,37.0,68.0,3.0,82.0,67.4,1.94,0.99,64.0,20.0,3.0,32.0,350.0
Glen Kamara,27.0,fi FIN,MF,Nott'ham-Forest,0.0,3.0,3.0,0.0,0.0,3.0,0.0,2698.0,37.0,30.0,47.0,206.0,71.0,0.5,0.5,5.0,2.0,37.0,0.0,39.0,92.7,2.13,1.07,38.0,33.0,5.0,17.0,203.5
Guglielmo Vicario,26.0,it ITA,GK,Tottenham-Hotspur,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3420.0,38.0,38.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.1,1.74,0.34,0.0,1.0,0.0,31.0,17.0
Gustavo Hamer,26.0,nl NED,MF,Sheffield-United,4.0,6.0,10.0,4.0,0.0,9.0,0.0,2910.0,36.0,32.3,36.0,135.0,86.0,3.0,3.0,49.0,13.0,37.0,7.0,70.0,68.4,0.44,-1.61,39.0,29.0,9.0,35.0,277.0
Hannibal Mejbri,20.0,tn TUN,"MF,FW",Manchester-United,1.0,0.0,1.0,1.0,0.0,1.0,0.0,133.0,5.0,1.5,2.0,6.0,10.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,81.6,2.0,0.68,3.0,0.0,1.0,0.0,13.0
Harry Maguire,30.0,eng ENG,DF,Manchester-United,2.0,2.0,4.0,2.0,0.0,4.0,0.0,1653.0,22.0,18.4,20.0,73.0,2.0,2.0,2.0,20.0,3.0,6.0,0.0,6.0,83.1,1.68,0.22,24.0,25.0,24.0,83.0,170.0
Harvey Barnes,25.0,eng ENG,"FW,MF",Newcastle-United,5.0,3.0,8.0,5.0,0.0,2.0,0.0,802.0,21.0,8.9,45.0,34.0,79.0,3.6,3.6,27.0,12.0,17.0,3.0,13.0,76.5,1.76,1.57,6.0,5.0,0.0,3.0,61.5
Ian Maatsen,21.0,nl NED,"FW,MF",Chelsea,0.0,0.0,0.0,0.0,0.0,1.0,0.0,209.0,12.0,2.3,9.0,8.0,15.0,0.8,0.8,5.0,0.0,2.0,1.0,2.0,70.3,1.67,-1.29,3.0,3.0,0.0,10.0,18.5
Ian Poveda,23.0,eng ENG,"MF,FW",Nott'ham-Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,7.0,1.7,9.0,12.0,12.0,0.1,0.1,2.0,0.0,4.0,0.0,3.0,72.3,1.57,0.6,4.0,1.0,0.0,0.0,14.0
Ilia Gruev,23.0,bg BUL,MF,Nott'ham-Forest,0.0,1.0,1.0,0.0,0.0,7.0,0.0,1774.0,29.0,19.7,11.0,86.0,8.0,0.4,0.4,6.0,1.0,6.0,1.0,14.0,90.0,2.06,0.71,47.0,27.0,4.0,14.0,168.5
Illan Meslier,23.0,fr FRA,GK,Nott'ham-Forest,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3922.0,44.0,43.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,82.3,1.94,0.85,1.0,0.0,0.0,28.0,16.0
Ionuț Radu,26.0,ro ROU,GK,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.4,1.5,-2.0,0.0,0.0,0.0,0.0,0.0
Issa Kaboré,22.0,bf BFA,DF,Luton-Town,0.0,2.0,2.0,0.0,0.0,7.0,0.0,1729.0,24.0,19.2,60.0,54.0,85.0,0.2,0.2,6.0,1.0,18.0,13.0,16.0,70.2,0.58,-0.83,52.0,16.0,11.0,56.0,195.0
Ivo Grbić,27.0,hr CRO,GK,Sheffield-United,0.0,0.0,0.0,0.0,0.0,1.0,0.0,771.0,9.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.7,0.33,-1.63,0.0,0.0,0.0,9.0,4.5
Jack Robinson,29.0,eng ENG,DF,Sheffield-United,1.0,1.0,2.0,1.0,0.0,10.0,0.0,2885.0,34.0,32.1,8.0,63.0,14.0,1.2,1.2,14.0,5.0,7.0,4.0,12.0,71.3,0.47,-1.65,43.0,33.0,33.0,132.0,257.5
Jacob Brown,25.0,sct SCO,"MF,FW",Luton-Town,2.0,0.0,2.0,2.0,0.0,4.0,0.0,1019.0,19.0,11.3,25.0,19.0,53.0,2.8,2.8,26.0,6.0,3.0,1.0,8.0,55.1,0.84,-0.88,19.0,8.0,1.0,22.0,80.0
Jacob Chapman,22.0,au AUS,GK,Brentford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.3,1.5,0.65,0.0,0.0,0.0,2.0,1.0
Jacob Murphy,28.0,eng ENG,"FW,DF",Newcastle-United,3.0,7.0,10.0,3.0,0.0,1.0,0.0,1189.0,21.0,13.2,33.0,52.0,113.0,2.1,2.1,30.0,10.0,30.0,8.0,31.0,66.1,1.95,1.44,20.0,6.0,0.0,16.0,126.5
Jacob Ramsey,22.0,eng ENG,"FW,MF",Aston-Villa,1.0,1.0,2.0,1.0,0.0,2.0,0.0,853.0,16.0,9.5,33.0,28.0,69.0,2.2,2.2,19.0,4.0,5.0,0.0,10.0,79.8,2.19,1.06,16.0,3.0,2.0,8.0,62.5
Jaden Philogene Bidace,21.0,eng ENG,FW,Aston-Villa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,-22.5,0.0,0.0,0.0,0.0,0.0
Jadon Sancho,23.0,eng ENG,"FW,MF",Manchester-United,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,3.0,0.9,10.0,4.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,79.1,2.0,1.14,1.0,1.0,0.0,0.0,5.0
Jaidon Anthony,23.0,eng ENG,"FW,MF",Nott'ham-Forest,1.0,0.0,1.0,1.0,0.0,0.0,0.0,500.0,31.0,5.6,33.0,25.0,64.0,1.7,1.7,20.0,6.0,10.0,4.0,9.0,76.3,2.0,0.9,14.0,2.0,0.0,4.0,49.5
Jamaal Lascelles,29.0,eng ENG,DF,Newcastle-United,1.0,0.0,1.0,1.0,0.0,4.0,0.0,1080.0,16.0,12.0,8.0,31.0,3.0,0.7,0.7,6.0,1.0,1.0,0.0,2.0,86.4,1.44,0.67,14.0,5.0,12.0,42.0,74.5
James Mcatee,20.0,eng ENG,MF,Sheffield-United,3.0,3.0,6.0,2.0,1.0,0.0,0.0,1.0,30.0,0.0,55.0,51.0,110.0,3.1,2.3,25.0,8.0,25.0,3.0,28.0,68.3,3.0,0.0,32.0,0.0,0.0,18.0,130.0
James Shea,32.0,eng ENG,GK,Luton-Town,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,0.0,0.0,0.0,0.0,0.0,2.0,1.0
James Ward-Prowse,28.0,eng ENG,MF,West-Ham-United,7.0,7.0,14.0,5.0,2.0,4.0,0.0,3001.0,37.0,33.3,18.0,144.0,63.0,6.0,4.4,42.0,16.0,23.0,8.0,64.0,82.9,1.38,-0.39,45.0,38.0,9.0,49.0,311.5
Jamie Shackleton,23.0,eng ENG,"DF,FW",Nott'ham-Forest,0.0,1.0,1.0,0.0,0.0,2.0,0.0,678.0,11.0,7.5,27.0,31.0,40.0,0.1,0.1,4.0,0.0,2.0,0.0,6.0,87.0,1.64,0.53,16.0,4.0,1.0,12.0,56.0
Jarrod Bowen,26.0,eng ENG,FW,West-Ham-United,16.0,6.0,22.0,16.0,0.0,2.0,0.0,3019.0,34.0,33.5,90.0,52.0,186.0,11.6,11.6,84.0,37.0,13.0,3.0,31.0,68.9,1.44,-0.3,42.0,19.0,5.0,14.0,231.0
Jason Steele,32.0,eng ENG,GK,Brighton-Hove-Albion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1530.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.7,1.12,-0.59,0.0,0.0,0.0,8.0,4.0
Jayden Bogle,23.0,eng ENG,DF,Sheffield-United,3.0,0.0,3.0,3.0,0.0,9.0,0.0,2788.0,34.0,31.0,38.0,60.0,92.0,2.3,2.3,32.0,11.0,20.0,5.0,10.0,70.7,0.44,-1.61,66.0,32.0,11.0,97.0,263.5
Jhon Durán,19.0,co COL,"FW,MF",Aston-Villa,5.0,0.0,5.0,5.0,0.0,5.0,0.0,475.0,23.0,5.3,9.0,9.0,25.0,2.0,2.0,20.0,7.0,1.0,0.0,4.0,68.6,1.74,0.57,6.0,1.0,0.0,10.0,39.5
Joe Gelhardt,21.0,eng ENG,"MF,FW",Nott'ham-Forest,0.0,0.0,0.0,0.0,0.0,1.0,0.0,197.0,10.0,2.2,1.0,9.0,5.0,0.6,0.6,5.0,1.0,3.0,0.0,2.0,82.8,1.5,-0.46,2.0,1.0,0.0,2.0,9.5
Joe Rodon,25.0,wls WAL,DF,Nott'ham-Forest,0.0,0.0,0.0,0.0,0.0,7.0,1.0,3722.0,43.0,41.4,23.0,180.0,1.0,1.8,1.8,22.0,3.0,0.0,0.0,6.0,90.7,1.96,0.94,48.0,50.0,36.0,198.0,315.0
Joe White,20.0,eng ENG,MF,Newcastle-United,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,4.0,0.1,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.7,1.0,13.85,1.0,0.0,0.0,0.0,2.0
Joe Willock,23.0,eng ENG,MF,Newcastle-United,1.0,0.0,1.0,1.0,0.0,0.0,0.0,419.0,9.0,4.7,16.0,17.0,26.0,0.8,0.8,7.0,3.0,3.0,1.0,7.0,82.9,1.56,-0.64,13.0,1.0,0.0,1.0,41.5
Joelinton,26.0,br BRA,"MF,FW",Newcastle-United,2.0,1.0,3.0,2.0,0.0,6.0,0.0,1279.0,20.0,14.2,29.0,56.0,60.0,3.1,3.1,19.0,7.0,9.0,0.0,23.0,83.6,1.45,0.21,39.0,19.0,7.0,11.0,161.5
John Egan,30.0,ie IRL,DF,Sheffield-United,0.0,0.0,0.0,0.0,0.0,2.0,0.0,482.0,6.0,5.4,0.0,5.0,1.0,0.2,0.2,3.0,1.0,1.0,0.0,0.0,69.2,0.17,-2.43,6.0,13.0,4.0,39.0,55.0
John Fleck,31.0,sct SCO,"MF,DF",Sheffield-United,0.0,0.0,0.0,0.0,0.0,1.0,0.0,92.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,72.5,0.0,-3.91,1.0,0.0,0.0,1.0,5.5
John McGinn,28.0,sct SCO,"MF,FW",Aston-Villa,6.0,4.0,10.0,6.0,0.0,9.0,1.0,2999.0,35.0,33.3,59.0,189.0,84.0,5.0,5.0,40.0,14.0,52.0,14.0,44.0,79.5,1.83,0.48,59.0,21.0,4.0,21.0,256.0
Jonny Evans,35.0,nir NIR,DF,Manchester-United,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1392.0,23.0,15.5,7.0,37.0,1.0,0.1,0.1,1.0,0.0,3.0,0.0,6.0,87.6,1.65,-0.19,22.0,23.0,18.0,76.0,145.5
Jordan Clark,29.0,eng ENG,MF,Luton-Town,1.0,1.0,2.0,1.0,0.0,4.0,0.0,1304.0,23.0,14.5,21.0,51.0,39.0,1.0,1.0,17.0,4.0,18.0,4.0,12.0,71.9,0.57,-1.31,30.0,11.0,3.0,15.0,110.0
Jordan Pickford,29.0,eng ENG,GK,Everton,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3420.0,38.0,38.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,62.6,1.26,-0.29,1.0,0.0,0.0,19.0,17.5
Joseph Johnson,17.0,eng ENG,DF,Luton-Town,0.0,0.0,0.0,0.0,0.0,1.0,0.0,77.0,2.0,0.9,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.3,0.0,-3.51,0.0,0.0,0.0,0.0,0.0
Joshua Acheampong,17.0,eng ENG,DF,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0
José Sá,30.0,pt POR,GK,Wolverhampton-Wanderers,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3037.0,35.0,33.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,65.6,1.23,-0.33,0.0,0.0,0.0,21.0,14.0
Joël Piroe,23.0,nl NED,"MF,FW",Nott'ham-Forest,13.0,3.0,16.0,11.0,2.0,2.0,0.0,2520.0,42.0,28.0,44.0,111.0,122.0,11.7,10.1,74.0,30.0,18.0,0.0,36.0,80.2,1.98,0.86,26.0,6.0,3.0,8.0,167.0
Junior Firpo,26.0,do DOM,DF,Nott'ham-Forest,0.0,7.0,7.0,0.0,0.0,6.0,0.0,1786.0,26.0,19.8,35.0,103.0,131.0,0.6,0.6,9.0,3.0,22.0,10.0,28.0,80.5,2.03,0.76,59.0,25.0,5.0,40.0,236.5
