Player,Nation,Pos,Age,90s,Att,Pass Types-Live,Pass Types-Dead,Pass Types-FK,Pass Types-TB,Pass Types-Sw,Pass Types-Crs,Pass Types-TI,Pass Types-CK,Corner Kicks-In,Corner Kicks-Out,Corner Kicks-Str,Outcomes-Cmp,Outcomes-Off,Outcomes-Blocks,Matches,Season-Unnamed: 21_level_1,Team-Unnamed: 22_level_1,Performance-CrdY,Performance-CrdR,Performance-2CrdY,Performance-Fls,Performance-Fld,Performance-Off,Performance-Crs,Performance-Int,Performance-TklW,Performance-PKwon,Performance-PKcon,Performance-OG,Performance-Recov,Aerial Duels-Won,Aerial Duels-Lost,Aerial Duels-Won%,Season-Unnamed: 22_level_1,Team-Unnamed: 23_level_1,MP,Playing Time-Min,Playing Time-Mn/MP,Playing Time-Min%,Playing Time-90s,Starts-Starts,Starts-Mn/Start,Starts-Compl,Subs-Subs,Subs-Mn/Sub,Subs-unSub,Team Success-PPM,Team Success-onG,Team Success-onGA,Team Success-+/-,Team Success-+/-90,Team Success-On-Off,Team Success (xG)-onxG,Team Success (xG)-onxGA,Team Success (xG)-xG+/-,Team Success (xG)-xG+/-90,Team Success (xG)-On-Off,Season-Unnamed: 27_level_1,Team-Unnamed: 28_level_1,Goals-GA,Goals-PKA,Goals-FK,Goals-CK,Goals-OG,Expected-PSxG,Expected-PSxG/SoT,Expected-PSxG+/-,Expected-/90,Launched-Cmp,Launched-Att,Launched-Cmp%,Passes-Att (GK),Passes-Thr,Passes-Launch%,Passes-AvgLen,Goal Kicks-Att,Goal Kicks-Launch%,Goal Kicks-AvgLen,Crosses-Opp,Crosses-Stp,Crosses-Stp%,Sweeper-#OPA,Sweeper-#OPA/90,Sweeper-AvgDist,Season-Unnamed: 31_level_1,Team-Unnamed: 32_level_1,Playing Time-Starts,Performance-Gls,Performance-Ast,Performance-G+A,Performance-G-PK,Performance-PK,Performance-PKatt,Expected-xG,Expected-npxG,Expected-xAG,Expected-npxG+xAG,Progression-PrgC,Progression-PrgP,Progression-PrgR,Per 90 Minutes-Gls,Per 90 Minutes-Ast,Per 90 Minutes-G+A,Per 90 Minutes-G-PK,Per 90 Minutes-G+A-PK,Per 90 Minutes-xG,Per 90 Minutes-xAG,Per 90 Minutes-xG+xAG,Per 90 Minutes-npxG,Per 90 Minutes-npxG+xAG,Season-Unnamed: 34_level_1,Team-Unnamed: 35_level_1,Touches-Touches,Touches-Def Pen,Touches-Def 3rd,Touches-Mid 3rd,Touches-Att 3rd,Touches-Att Pen,Touches-Live,Take-Ons-Att,Take-Ons-Succ,Take-Ons-Succ%,Take-Ons-Tkld,Take-Ons-Tkld%,Carries-Carries,Carries-TotDist,Carries-PrgDist,Carries-PrgC,Carries-1/3,Carries-CPA,Carries-Mis,Carries-Dis,Receiving-Rec,Receiving-PrgR,Season-Unnamed: 28_level_1,Team-Unnamed: 29_level_1,Playing Time-MP,Performance-GA,Performance-GA90,Performance-SoTA,Performance-Saves,Performance-Save%,Performance-W,Performance-D,Performance-L,Performance-CS,Performance-CS%,Penalty Kicks-PKatt,Penalty Kicks-PKA,Penalty Kicks-PKsv,Penalty Kicks-PKm,Penalty Kicks-Save%,Season-Unnamed: 24_level_1,Team-Unnamed: 25_level_1,SCA-SCA,SCA-SCA90,SCA Types-PassLive,SCA Types-PassDead,SCA Types-TO,SCA Types-Sh,SCA Types-Fld,SCA Types-Def,GCA-GCA,GCA-GCA90,GCA Types-PassLive,GCA Types-PassDead,GCA Types-TO,GCA Types-Sh,GCA Types-Fld,GCA Types-Def,Tackles-Tkl,Tackles-TklW,Tackles-Def 3rd,Tackles-Mid 3rd,Tackles-Att 3rd,Challenges-Tkl,Challenges-Att,Challenges-Tkl%,Challenges-Lost,Blocks-Blocks,Blocks-Sh,Blocks-Pass,Int,Tkl+Int,Clr,Err,Standard-Gls,Standard-Sh,Standard-SoT,Standard-SoT%,Standard-Sh/90,Standard-SoT/90,Standard-G/Sh,Standard-G/SoT,Standard-Dist,Standard-FK,Standard-PK,Standard-PKatt,Expected-npxG/Sh,Expected-G-xG,Expected-np:G-xG,Season-Unnamed: 23_level_1,Team-Unnamed: 24_level_1,Total-Cmp,Total-Att,Total-Cmp%,Total-TotDist,Total-PrgDist,Short-Cmp,Short-Att,Short-Cmp%,Medium-Cmp,Medium-Att,Medium-Cmp%,Long-Cmp,Long-Att,Long-Cmp%,Ast,xAG,Expected-xA,Expected-A-xAG,KP,1/3,PPA,CrsPA,PrgP,Season-Unnamed: 29_level_1,Team-Unnamed: 30_level_1
Antwoine Hackford,eng ENG,FW,19.0,0.1,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Matches,2023-2024,Sheffield-United,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2023-2024,Sheffield-United,,13.0,7.0,0.4,0.1,0.0,,0.0,2.0,7.0,0.0,0.0,0.0,1.0,-1.0,-6.92,-5.13,0.0,0.1,-0.1,-0.65,0.36,2023-2024,Sheffield-United,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-2024,Sheffield-United,4.0,0.0,0.0,2.0,2.0,0.0,4.0,1.0,0.0,0.0,1.0,100.0,3.0,11.0,2.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,2023-2024,Sheffield-United,2.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,2023-2024,Sheffield-United,2.0,2.0,100.0,14.0,0.0,2.0,2.0,100.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-2024,Sheffield-United
Archie Gray,eng ENG,"DF,MF",17.0,40.0,1931.0,1607.0,322.0,47.0,3.0,4.0,44.0,266.0,9.0,5.0,4.0,0.0,1599.0,2.0,41.0,Matches,2023-2024,Nott'ham-Forest,2.0,0.0,0.0,21.0,31.0,3.0,44.0,30.0,59.0,0.0,0.0,0.0,196.0,20.0,27.0,42.6,2023-2024,Nott'ham-Forest,,3599.0,82.0,86.9,40.0,40.0,89.0,32.0,4.0,15.0,2.0,1.94,70.0,36.0,34.0,0.85,0.18,69.6,32.1,37.5,0.94,0.28,2023-2024,Nott'ham-Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,0.0,2.0,2.0,0.0,0.0,0.0,0.5,0.5,1.2,1.7,72.0,166.0,97.0,0.0,0.05,0.05,0.0,0.05,0.01,0.03,0.04,0.01,0.04,2023-2024,Nott'ham-Forest,2260.0,69.0,555.0,1231.0,501.0,31.0,2260.0,84.0,43.0,51.2,33.0,39.3,1223.0,6454.0,2952.0,72.0,49.0,10.0,44.0,42.0,1355.0,97.0,2023-2024,Nott'ham-Forest,44.0,,,,,,,,,,,,,,,,,,62.0,1.55,49.0,3.0,2.0,2.0,3.0,3.0,6.0,0.15,5.0,0.0,0.0,0.0,0.0,1.0,92.0,59.0,50.0,30.0,12.0,59.0,88.0,67.0,29.0,37.0,5.0,32.0,30.0,122.0,40.0,0.0,0.0,14.0,2.0,14.3,0.35,0.05,0.0,0.0,20.9,0.0,0.0,0.0,0.04,-0.5,-0.5,2023-2024,Nott'ham-Forest,1599.0,1931.0,82.8,25243.0,7773.0,856.0,950.0,90.1,629.0,733.0,85.8,81.0,154.0,52.6,2.0,1.2,1.7,0.8,17.0,168.0,14.0,2.0,166.0,2023-2024,Nott'ham-Forest
Armando Broja,al ALB,FW,21.0,5.0,94.0,87.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,Matches,2023-2024,Chelsea,0.0,0.0,0.0,4.0,8.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,13.0,4.0,14.0,22.2,2023-2024,Chelsea,8.0,454.0,35.0,13.3,5.0,6.0,60.0,0.0,7.0,14.0,1.0,1.69,8.0,5.0,3.0,0.59,0.26,10.5,5.7,4.9,0.97,0.61,2023-2024,Chelsea,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,0.0,1.0,1.0,0.0,0.0,2.4,2.4,0.2,2.5,11.0,6.0,37.0,0.2,0.0,0.2,0.2,0.2,0.47,0.03,0.5,0.47,0.5,2023-2024,Chelsea,167.0,3.0,9.0,56.0,106.0,35.0,167.0,31.0,13.0,41.9,16.0,51.6,117.0,695.0,286.0,11.0,4.0,8.0,17.0,14.0,131.0,37.0,2023-2024,Chelsea,13.0,,,,,,,,,,,,,,,,,,8.0,1.59,5.0,0.0,1.0,0.0,2.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,2.0,50.0,1.0,5.0,1.0,4.0,0.0,3.0,3.0,0.0,1.0,13.0,2.0,15.4,2.58,0.4,0.08,0.5,11.1,0.0,0.0,0.0,0.18,-1.4,-1.4,2023-2024,Chelsea,83.0,94.0,88.3,932.0,91.0,60.0,64.0,93.8,15.0,18.0,83.3,1.0,2.0,50.0,0.0,0.2,0.3,-0.2,3.0,2.0,2.0,0.0,6.0,2023-2024,Chelsea
Arnaut Danjuma,nl NED,"MF,FW",26.0,6.6,152.0,147.0,5.0,0.0,1.0,1.0,10.0,2.0,1.0,1.0,0.0,0.0,102.0,0.0,8.0,Matches,2023-2024,Everton,0.0,0.0,0.0,7.0,5.0,3.0,10.0,3.0,4.0,0.0,0.0,0.0,25.0,3.0,5.0,37.5,2023-2024,Everton,14.0,595.0,43.0,17.4,6.6,5.0,84.0,2.0,9.0,19.0,14.0,0.43,3.0,10.0,-7.0,-1.06,-0.93,8.6,9.8,-1.2,-0.18,-0.18,2023-2024,Everton,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,0.0,1.0,1.0,0.0,0.0,2.6,2.6,1.1,3.7,24.0,9.0,44.0,0.15,0.0,0.15,0.15,0.15,0.4,0.17,0.57,0.4,0.57,2023-2024,Everton,223.0,4.0,23.0,77.0,127.0,32.0,223.0,21.0,8.0,38.1,11.0,52.4,147.0,1182.0,599.0,24.0,15.0,11.0,10.0,7.0,147.0,44.0,2023-2024,Everton,,,,,,,,,,,,,,,,,,,18.0,2.72,9.0,0.0,1.0,5.0,2.0,1.0,1.0,0.15,0.0,0.0,0.0,1.0,0.0,0.0,6.0,4.0,2.0,3.0,1.0,1.0,4.0,25.0,3.0,4.0,0.0,4.0,3.0,9.0,0.0,0.0,1.0,25.0,9.0,36.0,3.78,1.36,0.04,0.11,16.0,1.0,0.0,0.0,0.1,-1.6,-1.6,2023-2024,Everton,102.0,152.0,67.1,1420.0,357.0,57.0,69.0,82.6,37.0,54.0,68.5,2.0,7.0,28.6,0.0,1.1,0.4,-1.1,6.0,6.0,2.0,0.0,9.0,2023-2024,Everton
Ashley Phillips,wls WAL,DF,18.0,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,,7.0,,,,,,,,,,,,2023-2024,Tottenham-Hotspur,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,2023-2024,Tottenham-Hotspur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashley Young,eng ENG,"DF,MF",38.0,25.3,1052.0,831.0,212.0,25.0,2.0,1.0,100.0,168.0,19.0,10.0,7.0,1.0,723.0,9.0,29.0,Matches,2023-2024,Everton,7.0,1.0,1.0,33.0,24.0,1.0,100.0,22.0,38.0,1.0,1.0,1.0,120.0,19.0,32.0,37.3,2023-2024,Everton,31.0,2280.0,74.0,66.7,25.3,27.0,81.0,14.0,4.0,21.0,1.0,1.32,28.0,32.0,-4.0,-0.16,0.39,36.5,33.1,3.3,0.13,0.49,2023-2024,Everton,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,1.5,2.1,40.0,82.0,61.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.08,0.02,0.08,2023-2024,Everton,1284.0,77.0,378.0,554.0,365.0,20.0,1284.0,27.0,12.0,44.4,12.0,44.4,609.0,2909.0,1490.0,40.0,24.0,5.0,16.0,13.0,653.0,61.0,2023-2024,Everton,,,,,,,,,,,,,,,,,,,58.0,2.29,38.0,10.0,1.0,4.0,3.0,2.0,1.0,0.04,0.0,0.0,0.0,0.0,1.0,0.0,53.0,38.0,28.0,19.0,6.0,30.0,54.0,55.6,24.0,24.0,6.0,18.0,22.0,75.0,50.0,3.0,0.0,13.0,2.0,15.4,0.51,0.08,0.0,0.0,21.9,3.0,0.0,0.0,0.05,-0.6,-0.6,2023-2024,Everton,723.0,1052.0,68.7,12752.0,5653.0,339.0,386.0,87.8,290.0,384.0,75.5,83.0,219.0,37.9,0.0,1.5,1.4,-1.5,21.0,62.0,22.0,11.0,82.0,2023-2024,Everton
Auston Trusty,us USA,DF,24.0,28.6,920.0,842.0,76.0,7.0,0.0,0.0,5.0,68.0,0.0,0.0,0.0,0.0,701.0,2.0,11.0,Matches,2023-2024,Sheffield-United,4.0,0.0,0.0,23.0,13.0,3.0,5.0,35.0,30.0,0.0,1.0,0.0,89.0,61.0,49.0,55.5,2023-2024,Sheffield-United,,2572.0,80.0,75.2,28.6,28.0,89.0,24.0,4.0,21.0,6.0,0.38,22.0,81.0,-59.0,-2.06,-1.0,27.3,53.9,-26.7,-0.93,0.31,2023-2024,Sheffield-United,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.1,1.5,10.0,40.0,15.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,2023-2024,Sheffield-United,1264.0,231.0,712.0,452.0,105.0,27.0,1264.0,12.0,6.0,50.0,5.0,41.7,509.0,1993.0,797.0,10.0,7.0,2.0,17.0,4.0,583.0,15.0,2023-2024,Sheffield-United,32.0,,,,,,,,,,,,,,,,,,16.0,0.56,11.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,30.0,31.0,13.0,3.0,21.0,43.0,48.8,22.0,41.0,22.0,19.0,35.0,82.0,153.0,3.0,0.0,8.0,2.0,25.0,0.28,0.07,0.0,0.0,13.0,0.0,0.0,0.0,0.05,-0.4,-0.4,2023-2024,Sheffield-United,701.0,920.0,76.2,12342.0,4628.0,281.0,330.0,85.2,355.0,443.0,80.1,50.0,106.0,47.2,0.0,1.1,0.8,-1.1,8.0,24.0,4.0,2.0,40.0,2023-2024,Sheffield-United
Axel Disasi,fr FRA,DF,25.0,28.7,2256.0,2153.0,98.0,49.0,3.0,11.0,10.0,43.0,0.0,0.0,0.0,0.0,2031.0,5.0,19.0,Matches,2023-2024,Chelsea,6.0,0.0,0.0,17.0,17.0,4.0,10.0,18.0,19.0,0.0,0.0,1.0,150.0,72.0,31.0,69.9,2023-2024,Chelsea,,2579.0,83.0,75.4,28.7,29.0,89.0,27.0,2.0,5.0,4.0,1.52,50.0,50.0,0.0,0.0,-1.5,56.1,43.1,12.9,0.45,0.08,2023-2024,Chelsea,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,2.0,0.0,2.0,2.0,0.0,0.0,2.4,2.4,0.3,2.7,30.0,112.0,21.0,0.07,0.0,0.07,0.07,0.07,0.08,0.01,0.09,0.08,0.09,2023-2024,Chelsea,2496.0,291.0,1193.0,1140.0,175.0,24.0,2496.0,22.0,12.0,54.5,5.0,22.7,1613.0,7182.0,4223.0,30.0,20.0,3.0,16.0,12.0,1892.0,21.0,2023-2024,Chelsea,31.0,,,,,,,,,,,,,,,,,,13.0,0.45,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,19.0,20.0,10.0,3.0,23.0,30.0,76.7,7.0,26.0,19.0,7.0,18.0,51.0,102.0,2.0,2.0,16.0,4.0,25.0,0.56,0.14,0.13,0.5,10.3,0.0,0.0,0.0,0.15,-0.4,-0.4,2023-2024,Chelsea,2031.0,2256.0,90.0,34081.0,11464.0,877.0,913.0,96.1,1050.0,1124.0,93.4,86.0,168.0,51.2,0.0,0.3,1.0,-0.3,3.0,115.0,8.0,1.0,112.0,2023-2024,Chelsea
Axel Piesold,eng ENG,MF,18.0,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,9.0,,,,,,,,,,,,2023-2024,Luton-Town,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,2023-2024,Luton-Town,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aymeric Laporte,es ESP,DF,29.0,0.1,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,Matches,2023-2024,Manchester-City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,2023-2024,Manchester-City,1.0,12.0,12.0,0.4,0.1,0.0,,0.0,1.0,12.0,0.0,3.0,0.0,0.0,0.0,0.0,-1.64,0.1,0.1,0.1,0.57,-0.62,2023-2024,Manchester-City,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.27,0.27,0.27,2023-2024,Manchester-City,14.0,2.0,7.0,6.0,1.0,1.0,14.0,0.0,0.0,,0.0,,10.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2023-2024,Manchester-City,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,7.5,7.5,0.0,0.0,10.8,0.0,0.0,0.0,0.04,0.0,0.0,2023-2024,Manchester-City,11.0,11.0,100.0,202.0,48.0,4.0,4.0,100.0,7.0,7.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-2024,Manchester-City
Bart Verbruggen,nl NED,GK,20.0,21.0,862.0,771.0,90.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,753.0,1.0,1.0,Matches,2023-2024,Brighton-Hove-Albion,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,5.0,0.0,100.0,2023-2024,Brighton-Hove-Albion,21.0,1890.0,90.0,55.3,21.0,21.0,90.0,21.0,0.0,,17.0,1.38,31.0,28.0,3.0,0.14,0.73,28.4,30.5,-2.1,-0.1,-0.3,2023-2024,Brighton-Hove-Albion,28.0,3.0,0.0,3.0,0.0,25.4,0.25,-2.6,-0.12,55.0,142.0,38.7,789.0,117.0,17.1,24.4,72.0,9.7,15.7,232.0,17.0,7.3,31.0,1.48,15.8,2023-2024,Brighton-Hove-Albion,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-2024,Brighton-Hove-Albion,906.0,779.0,897.0,9.0,0.0,0.0,906.0,1.0,1.0,100.0,0.0,0.0,672.0,2520.0,1279.0,0.0,0.0,0.0,0.0,0.0,580.0,0.0,2023-2024,Brighton-Hove-Albion,21.0,28.0,1.33,91.0,63.0,72.5,7.0,8.0,6.0,4.0,19.0,3.0,3.0,0.0,0.0,0.0,2023-2024,Brighton-Hove-Albion,3.0,0.14,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0,3.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,2023-2024,Brighton-Hove-Albion,753.0,862.0,87.4,14982.0,10381.0,304.0,307.0,99.0,309.0,315.0,98.1,129.0,226.0,57.1,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,2023-2024,Brighton-Hove-Albion
Bashir Humphreys,eng ENG,DF,20.0,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,2.0,,,,,,,,,,,,2023-2024,Chelsea,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,2023-2024,Chelsea,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Brereton,cl CHI,"FW,MF",24.0,12.3,265.0,246.0,19.0,0.0,0.0,0.0,9.0,4.0,1.0,0.0,0.0,0.0,200.0,0.0,8.0,Matches,2023-2024,Sheffield-United,3.0,0.0,0.0,11.0,19.0,11.0,9.0,3.0,4.0,1.0,0.0,0.0,39.0,7.0,23.0,23.3,2023-2024,Sheffield-United,,1105.0,79.0,32.3,12.3,14.0,79.0,8.0,0.0,,1.0,0.29,16.0,37.0,-21.0,-1.71,0.16,16.3,23.7,-7.3,-0.6,0.61,2023-2024,Sheffield-United,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,6.0,1.0,7.0,5.0,1.0,1.0,6.1,5.3,1.5,6.7,23.0,37.0,78.0,0.49,0.08,0.57,0.41,0.49,0.49,0.12,0.61,0.43,0.55,2023-2024,Sheffield-United,387.0,14.0,44.0,167.0,185.0,51.0,386.0,28.0,10.0,35.7,17.0,60.7,232.0,1441.0,662.0,23.0,15.0,19.0,23.0,16.0,281.0,78.0,2023-2024,Sheffield-United,14.0,,,,,,,,,,,,,,,,,,31.0,2.52,21.0,0.0,4.0,2.0,3.0,1.0,4.0,0.33,2.0,0.0,1.0,0.0,1.0,0.0,9.0,4.0,4.0,4.0,1.0,4.0,10.0,40.0,6.0,9.0,3.0,6.0,3.0,12.0,12.0,0.0,6.0,34.0,16.0,47.1,2.77,1.3,0.15,0.31,14.5,0.0,1.0,1.0,0.16,-0.1,-0.3,2023-2024,Sheffield-United,200.0,265.0,75.5,2833.0,720.0,127.0,149.0,85.2,58.0,76.0,76.3,12.0,17.0,70.6,1.0,1.5,1.1,-0.5,8.0,22.0,12.0,2.0,37.0,2023-2024,Sheffield-United
Ben Chilwell,eng ENG,DF,26.0,8.4,495.0,416.0,73.0,11.0,0.0,0.0,43.0,41.0,21.0,9.0,11.0,0.0,373.0,6.0,19.0,Matches,2023-2024,Chelsea,5.0,0.0,0.0,11.0,12.0,4.0,43.0,4.0,10.0,0.0,0.0,0.0,33.0,12.0,15.0,44.4,2023-2024,Chelsea,,756.0,58.0,22.1,8.4,9.0,77.0,3.0,4.0,17.0,1.0,1.23,13.0,14.0,-1.0,-0.12,-0.63,14.8,12.2,2.6,0.3,-0.17,2023-2024,Chelsea,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.0,1.0,1.0,0.0,0.0,0.0,1.2,1.2,2.2,3.4,22.0,25.0,59.0,0.0,0.12,0.12,0.0,0.12,0.14,0.26,0.41,0.14,0.41,2023-2024,Chelsea,605.0,21.0,129.0,258.0,221.0,28.0,605.0,19.0,7.0,36.8,8.0,42.1,333.0,1713.0,844.0,22.0,14.0,5.0,21.0,5.0,394.0,59.0,2023-2024,Chelsea,13.0,,,,,,,,,,,,,,,,,,22.0,2.62,11.0,8.0,0.0,1.0,2.0,0.0,2.0,0.24,1.0,0.0,0.0,1.0,0.0,0.0,15.0,10.0,5.0,9.0,1.0,5.0,8.0,62.5,3.0,11.0,3.0,8.0,4.0,19.0,19.0,1.0,0.0,12.0,4.0,33.3,1.43,0.48,0.0,0.0,16.6,1.0,0.0,0.0,0.1,-1.2,-1.2,2023-2024,Chelsea,373.0,495.0,75.4,5230.0,1552.0,230.0,259.0,88.8,112.0,143.0,78.3,18.0,48.0,37.5,1.0,2.2,1.8,-1.2,14.0,29.0,2.0,2.0,25.0,2023-2024,Chelsea
Ben Davies,wls WAL,DF,30.0,12.1,850.0,788.0,61.0,34.0,3.0,3.0,10.0,27.0,0.0,0.0,0.0,0.0,766.0,1.0,10.0,Matches,2023-2024,Tottenham-Hotspur,2.0,0.0,0.0,8.0,19.0,0.0,10.0,10.0,17.0,1.0,0.0,0.0,53.0,29.0,21.0,58.0,2023-2024,Tottenham-Hotspur,17.0,1090.0,64.0,31.9,12.1,12.0,86.0,10.0,5.0,12.0,13.0,1.82,25.0,21.0,4.0,0.33,-0.02,22.1,21.8,0.3,0.02,-0.15,2023-2024,Tottenham-Hotspur,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.0,0.0,1.0,1.0,0.0,0.0,2.3,2.3,0.4,2.7,13.0,71.0,20.0,0.08,0.0,0.08,0.08,0.08,0.19,0.03,0.23,0.19,0.23,2023-2024,Tottenham-Hotspur,972.0,97.0,406.0,473.0,96.0,23.0,972.0,10.0,4.0,40.0,6.0,60.0,593.0,3265.0,2044.0,13.0,13.0,1.0,2.0,3.0,685.0,20.0,2023-2024,Tottenham-Hotspur,,,,,,,,,,,,,,,,,,,15.0,1.24,14.0,0.0,0.0,0.0,1.0,0.0,2.0,0.17,1.0,0.0,0.0,0.0,1.0,0.0,24.0,17.0,13.0,8.0,3.0,16.0,21.0,76.2,5.0,17.0,15.0,2.0,10.0,34.0,35.0,0.0,1.0,12.0,2.0,16.7,0.99,0.17,0.08,0.5,11.8,0.0,0.0,0.0,0.19,-1.3,-1.3,2023-2024,Tottenham-Hotspur,766.0,850.0,90.1,13839.0,5258.0,303.0,324.0,93.5,388.0,413.0,93.9,60.0,81.0,74.1,0.0,0.4,0.6,-0.4,4.0,80.0,4.0,0.0,71.0,2023-2024,Tottenham-Hotspur
