Rk,Squad,Home-MP,Home-W,Home-D,Home-L,Home-GF,Home-GA,Home-GD,Home-Pts,Home-Pts/MP,Home-xG,Home-xGA,Home-xGD,Home-xGD/90,Away-MP,Away-W,Away-D,Away-L,Away-GF,Away-GA,Away-GD,Away-Pts,Away-Pts/MP,Away-xG,Away-xGA,Away-xGD,Away-xGD/90,Season-Unnamed: 28_level_1,Team-Unnamed: 29_level_1
21,Plymouth Argyle,23,10,5,8,41,35,6,35,1.52,28.3,37.2,-8.9,-0.39,23,3,7,13,18,35,-17,16,0.7,24.0,35.9,-11.8,-0.51,2023-2024,Brentford
22,Birmingham City,23,10,6,7,31,25,6,36,1.57,27.7,26.9,0.9,0.04,23,3,5,15,19,40,-21,14,0.61,21.3,33.6,-12.3,-0.54,2023-2024,Brentford
23,Huddersfield,23,6,8,9,26,36,-10,26,1.13,24.7,27.8,-3.2,-0.14,23,3,10,10,22,41,-19,19,0.83,24.0,35.0,-11.1,-0.48,2023-2024,Brentford
24,Rotherham Utd,23,5,8,10,24,28,-4,23,1.0,17.0,30.7,-13.7,-0.6,23,0,4,19,13,61,-48,4,0.17,14.6,48.6,-34.1,-1.48,2023-2024,Brentford
