Rk-1,Squad-Manchester City,MP-38,W-28,D-7,L-3,GF-96,GA-34,GD-62,Pts-91,Pts/MP-2.39,xG-80.5,xGA-35.6,xGD-44.9,xGD/90-1.18,Attendance-53012,Top Team Scorer-Erling Haaland - 27,Goalkeeper-Ederson,Notes-→ Champions League via league finish,Season-2023-2024,Team-Arsenal
2,Arsenal,38,28,5,5,91,29,62,89,2.34,76.1,27.9,48.2,1.27,60236,Bukayo Saka - 16,David Raya,→ Champions League via league finish,2023-2024,Arsenal
3,Liverpool,38,24,10,4,86,41,45,82,2.16,87.8,45.7,42.0,1.11,55979,Mohamed Salah - 18,Alisson,→ Champions League via league finish,2023-2024,Arsenal
4,Aston Villa,38,20,8,10,76,61,15,68,1.79,63.3,59.9,3.4,0.09,41858,Ollie Watkins - 19,Emiliano Martínez,→ Champions League via league finish,2023-2024,Arsenal
