Rk-18,Squad-Luton Town,MP-38,W-6,D-8,L-24,GF-52,GA-85,GD--33,Pts-26,Pts/MP-0.68,xG-42.4,xGA-78.0,xGD--35.5,xGD/90--0.94,Attendance-11240,Top Team Scorer-Carlton Morris - 11,Goalkeeper-Thomas Kaminski,Notes-Relegated,Season-2023-2024,Team-Sheffield-United
19,Burnley,38,5,9,24,41,78,-37,24,0.63,40.6,70.4,-29.7,-0.78,21184,Jacob Bruun Larsen - 6,James Trafford,Relegated,2023-2024,Sheffield-United
20,Sheffield Utd,38,3,7,28,35,104,-69,16,0.42,38.3,76.7,-38.4,-1.01,30011,"Oliver McBurnie, Ben Brereton - 6",Wes Foderingham,Relegated,2023-2024,Sheffield-United
