Rk-12,Squad-Bournemouth,MP-38,W-13,D-9,L-16,GF-54,GA-67,GD--13,Pts-48,Pts/MP-1.26,xG-55.9,xGA-58.1,xGD--2.2,xGD/90--0.06,Attendance-11103,Top Team Scorer-Dominic Solanke - 19,Goalkeeper-Neto,Notes-Unnamed: 18_level_1,Season-2023-2024,Team-Wolverhampton-Wanderers
13,Fulham,38,13,8,17,55,61,-6,47,1.24,50.8,62.9,-12.1,-0.32,24302,Rodrigo Muniz - 9,Bernd Leno,,2023-2024,Wolverhampton-Wanderers
14,Wolves,38,13,7,18,50,65,-15,46,1.21,46.7,67.7,-21.0,-0.55,31029,"Hwang Hee-chan, Matheus Cunha - 12",José Sá,,2023-2024,Wolverhampton-Wanderers
15,Everton,38,13,9,16,40,51,-11,42,1.11,54.0,55.2,-1.2,-0.03,39042,"Abdoulaye Doucouré, Dominic Calvert-Lewin - 7",Jordan Pickford,6-point deduction 1,2023-2024,Wolverhampton-Wanderers
16,Brentford,38,10,9,19,56,65,-9,39,1.03,58.2,56.0,2.2,0.06,17082,Yoane Wissa - 12,Mark Flekken,,2023-2024,Wolverhampton-Wanderers
