Player,Nation,Pos,Age,Playing Time-MP,Playing Time-Starts,Playing Time-Min,Playing Time-90s,Performance-GA,Performance-GA90,Performance-SoTA,Performance-Saves,Performance-Save%,Performance-W,Performance-D,Performance-L,Performance-CS,Performance-CS%,Penalty Kicks-PKatt,Penalty Kicks-PKA,Penalty Kicks-PKsv,Penalty Kicks-PKm,Penalty Kicks-Save%,Matches,Season-Unnamed: 24_level_1,Team-Unnamed: 25_level_1
Bernd Leno,de GER,GK,31.0,38,38,3420,38.0,61,1.61,190,133,72.1,13,8,17,10,26.3,8,8,0,0,0.0,Matches,2023-2024,Fulham
Squad Total,,,28.4,38,38,3420,38.0,61,1.61,190,133,72.1,13,8,17,10,26.3,8,8,0,0,0.0,,2023-2024,Fulham
Opponent Total,,,26.1,38,38,3420,38.0,55,1.45,177,123,70.1,17,8,13,13,34.2,2,2,0,0,0.0,,2023-2024,Fulham
