Player,Nation,Pos,Age,90s,Goals-GA,Goals-PKA,Goals-FK,Goals-CK,Goals-OG,Expected-PSxG,Expected-PSxG/SoT,Expected-PSxG+/-,Expected-/90,Launched-Cmp,Launched-Att,Launched-Cmp%,Passes-Att (GK),Passes-Thr,Passes-Launch%,Passes-AvgLen,Goal Kicks-Att,Goal Kicks-Launch%,Goal Kicks-AvgLen,Crosses-Opp,Crosses-Stp,Crosses-Stp%,Sweeper-#OPA,Sweeper-#OPA/90,Sweeper-AvgDist,Matches,Season-Unnamed: 31_level_1,Team-Unnamed: 32_level_1
Illan Meslier,fr FRA,GK,23.0,43.6,40,1,0,8,2,34.9,0.29,-3.1,-0.07,98,397,24.7,1732,193,19.0,27.3,160,42.5,41.1,489,24,4.9,50,1.15,12.9,Matches,2023-2024,Nott'ham-Forest
Karl Darlow,wls WAL,GK,32.0,1.4,3,0,0,0,0,1.8,0.37,-1.2,-0.83,5,11,45.5,51,6,19.6,29.1,8,12.5,31.6,24,0,0.0,0,0.0,12.8,Matches,2023-2024,Nott'ham-Forest
Kristoffer Klaesson,no NOR,GK,22.0,1.0,0,0,0,0,0,0.0,0.02,0.0,0.02,3,10,30.0,24,3,25.0,30.4,7,57.1,43.3,5,0,0.0,0,0.0,,Matches,2023-2024,Nott'ham-Forest
Squad Total,,,24.0,46.0,43,1,0,8,2,36.8,0.29,-4.2,-0.09,106,418,25.4,1715,202,20.1,29.1,267,27.3,30.0,518,24,4.6,50,1.09,12.8,,2023-2024,Nott'ham-Forest
Opponent Total,,,26.1,46.0,81,7,0,7,3,81.1,0.32,3.1,0.07,269,782,34.4,1337,180,42.8,36.5,385,54.5,41.6,585,19,3.2,49,1.07,15.5,,2023-2024,Nott'ham-Forest
