Rk,Squad,Home-MP,Home-W,Home-D,Home-L,Home-GF,Home-GA,Home-GD,Home-Pts,Home-Pts/MP,Home-xG,Home-xGA,Home-xGD,Home-xGD/90,Away-MP,Away-W,Away-D,Away-L,Away-GF,Away-GA,Away-GD,Away-Pts,Away-Pts/MP,Away-xG,Away-xGA,Away-xGD,Away-xGD/90,Season-Unnamed: 28_level_1,Team-Unnamed: 29_level_1
18,Luton Town,19,4,4,11,28,37,-9,16,0.84,25.8,31.1,-5.3,-0.28,19,2,4,13,24,48,-24,10,0.53,16.6,46.9,-30.2,-1.59,2023-2024,Sheffield-United
19,Burnley,19,2,4,13,19,43,-24,10,0.53,22.6,29.1,-6.5,-0.34,19,3,5,11,22,35,-13,14,0.74,18.0,41.3,-23.2,-1.22,2023-2024,Sheffield-United
20,Sheffield Utd,19,2,4,13,19,57,-38,10,0.53,24.2,37.8,-13.6,-0.72,19,1,3,15,16,47,-31,6,0.32,14.0,38.8,-24.8,-1.3,2023-2024,Sheffield-United
