Player,Nation,Pos,Age,Playing Time-MP,Playing Time-Starts,Playing Time-Min,Playing Time-90s,Performance-GA,Performance-GA90,Performance-SoTA,Performance-Saves,Performance-Save%,Performance-W,Performance-D,Performance-L,Performance-CS,Performance-CS%,Penalty Kicks-PKatt,Penalty Kicks-PKA,Penalty Kicks-PKsv,Penalty Kicks-PKm,Penalty Kicks-Save%,Matches,Season-Unnamed: 24_level_1,Team-Unnamed: 25_level_1
Lee Nicholls,eng ENG,GK,30.0,37,37,3305,36.7,64,1.74,162,100,62.3,7,15,15,7,18.9,3,3,0,0,0.0,Matches,2023-2024,Brentford
Chris Maxwell,wls WAL,GK,33.0,9,8,696,7.7,11,1.42,40,29,72.5,2,3,3,0,0.0,0,0,0,0,,Matches,2023-2024,Brentford
Jacob Chapman,au AUS,GK,22.0,2,1,139,1.5,2,1.29,4,1,50.0,0,0,1,1,100.0,1,0,1,0,100.0,Matches,2023-2024,Brentford
Squad Total,,,26.4,46,46,4140,46.0,77,1.67,206,130,64.1,9,18,19,8,17.4,4,3,1,0,25.0,,2023-2024,Brentford
Opponent Total,,,26.0,46,46,4140,46.0,48,1.04,164,118,71.3,19,18,9,11,23.9,1,1,0,0,0.0,,2023-2024,Brentford
