Rk,Squad,Home-MP,Home-W,Home-D,Home-L,Home-GF,Home-GA,Home-GD,Home-Pts,Home-Pts/MP,Home-xG,Home-xGA,Home-xGD,Home-xGD/90,Away-MP,Away-W,Away-D,Away-L,Away-GF,Away-GA,Away-GD,Away-Pts,Away-Pts/MP,Away-xG,Away-xGA,Away-xGD,Away-xGD/90,Season-Unnamed: 28_level_1,Team-Unnamed: 29_level_1
1,Leicester City,23,17,1,5,47,18,29,52,2.26,43.3,21.8,21.5,0.94,23,14,3,6,42,23,19,45,1.96,41.6,21.0,20.7,0.9,2023-2024,Nott'ham-Forest
2,Ipswich Town,23,16,6,1,59,32,27,54,2.35,46.4,21.0,25.4,1.1,23,12,6,5,33,25,8,42,1.83,27.6,25.6,2.0,0.09,2023-2024,Nott'ham-Forest
3,Leeds United,23,16,5,2,45,16,29,53,2.3,44.7,16.1,28.7,1.25,23,11,4,8,36,27,9,37,1.61,34.7,22.0,12.8,0.56,2023-2024,Nott'ham-Forest
4,Southampton,23,15,3,5,54,29,25,48,2.09,46.4,24.4,22.0,0.96,23,11,6,6,33,34,-1,39,1.7,33.4,24.6,8.8,0.38,2023-2024,Nott'ham-Forest
5,West Brom,23,15,4,4,38,17,21,49,2.13,33.7,19.4,14.3,0.62,23,6,8,9,32,30,2,26,1.13,26.4,30.8,-4.4,-0.19,2023-2024,Nott'ham-Forest
