Player,Nation,Pos,Age,Playing Time-MP,Playing Time-Starts,Playing Time-Min,Playing Time-90s,Performance-GA,Performance-GA90,Performance-SoTA,Performance-Saves,Performance-Save%,Performance-W,Performance-D,Performance-L,Performance-CS,Performance-CS%,Penalty Kicks-PKatt,Penalty Kicks-PKA,Penalty Kicks-PKsv,Penalty Kicks-PKm,Penalty Kicks-Save%,Matches,Season-Unnamed: 24_level_1,Team-Unnamed: 25_level_1
Neto,br BRA,GK,34.0,32,32,2880,32.0,55,1.72,165,110,69.7,10,9,13,7,21.9,6,5,1,0,16.7,Matches,2023-2024,Bournemouth
Mark Travers,ie IRL,GK,24.0,4,4,360,4.0,5,1.25,18,13,77.8,2,0,2,2,50.0,1,1,0,0,0.0,Matches,2023-2024,Bournemouth
Ionuț Radu,ro ROU,GK,26.0,2,2,180,2.0,7,3.5,11,4,36.4,1,0,1,0,0.0,0,0,0,0,,Matches,2023-2024,Bournemouth
Squad Total,,,25.7,38,38,3420,38.0,67,1.76,194,127,68.6,13,9,16,9,23.7,7,6,1,0,14.3,,2023-2024,Bournemouth
Opponent Total,,,26.2,38,38,3420,38.0,54,1.42,177,125,70.6,16,9,13,7,18.4,3,2,0,1,0.0,,2023-2024,Bournemouth
