Rk-11,Squad-Brighton,MP-38,W-12,D-12,L-14,GF-55,GA-62,GD--7,Pts-48,Pts/MP-1.26,xG-56.8,xGA-55.4,xGD-1.4,xGD/90-0.04,Attendance-32638,Top Team Scorer-João Pedro - 9,Goalkeeper-Bart Verbruggen,Notes-Unnamed: 18_level_1,Season-2023-2024,Team-Fulham
12,Bournemouth,38,13,9,16,54,67,-13,48,1.26,55.9,58.1,-2.2,-0.06,11103,Dominic Solanke - 19,Neto,,2023-2024,Fulham
13,Fulham,38,13,8,17,55,61,-6,47,1.24,50.8,62.9,-12.1,-0.32,24302,Rodrigo Muniz - 9,Bernd Leno,,2023-2024,Fulham
14,Wolves,38,13,7,18,50,65,-15,46,1.21,46.7,67.7,-21.0,-0.55,31029,"Hwang Hee-chan, Matheus Cunha - 12",José Sá,,2023-2024,Fulham
15,Everton,38,13,9,16,40,51,-11,42,1.11,54.0,55.2,-1.2,-0.03,39042,"Abdoulaye Doucouré, Dominic Calvert-Lewin - 7",Jordan Pickford,6-point deduction 1,2023-2024,Fulham
