Player,Nation,Pos,Age,Playing Time-MP,Playing Time-Starts,Playing Time-Min,Playing Time-90s,Performance-GA,Performance-GA90,Performance-SoTA,Performance-Saves,Performance-Save%,Performance-W,Performance-D,Performance-L,Performance-CS,Performance-CS%,Penalty Kicks-PKatt,Penalty Kicks-PKA,Penalty Kicks-PKsv,Penalty Kicks-PKm,Penalty Kicks-Save%,Matches,Season-Unnamed: 24_level_1,Team-Unnamed: 25_level_1
André Onana,cm CMR,GK,27.0,38,38,3420,38.0,58,1.53,203,146,74.9,18,6,14,9,23.7,7,7,0,0,0.0,Matches,2023-2024,Manchester-United
Squad Total,,,26.1,38,38,3420,38.0,58,1.53,203,146,74.9,18,6,14,9,23.7,7,7,0,0,0.0,,2023-2024,Manchester-United
Opponent Total,,,26.2,38,38,3420,38.0,57,1.5,189,131,73.0,14,6,18,9,23.7,7,6,1,0,14.3,,2023-2024,Manchester-United
