Player,Nation,Pos,Age,Playing Time-MP,Playing Time-Starts,Playing Time-Min,Playing Time-90s,Performance-GA,Performance-GA90,Performance-SoTA,Performance-Saves,Performance-Save%,Performance-W,Performance-D,Performance-L,Performance-CS,Performance-CS%,Penalty Kicks-PKatt,Penalty Kicks-PKA,Penalty Kicks-PKsv,Penalty Kicks-PKm,Penalty Kicks-Save%,Matches,Season-Unnamed: 24_level_1,Team-Unnamed: 25_level_1
Đorđe Petrović,rs SRB,GK,23.0,23,22,1987,22.1,38,1.72,108,73,65.7,13,5,4,5,22.7,2,1,0,1,0.0,Matches,2023-2024,Chelsea
Robert Sánchez,es ESP,GK,25.0,16,16,1433,15.9,25,1.57,78,52,70.5,5,4,7,3,18.8,3,2,1,0,33.3,Matches,2023-2024,Chelsea
Squad Total,,,24.2,38,38,3420,38.0,63,1.66,186,125,67.7,18,9,11,8,21.1,5,3,1,1,25.0,,2023-2024,Chelsea
Opponent Total,,,26.3,38,38,3420,38.0,77,2.03,206,129,68.0,11,9,18,6,15.8,12,11,1,0,8.3,,2023-2024,Chelsea
