Rk-8,Squad-Manchester Utd,MP-38,W-18,D-6,L-14,GF-57,GA-58,GD--1,Pts-60,Pts/MP-1.58,xG-56.5,xGA-68.9,xGD--12.5,xGD/90--0.33,Attendance-73533,"Top Team Scorer-Rasmus Højlund, Bruno Fernandes - 10",Goalkeeper-André Onana,Notes-→ Europa League via cup win,Season-2023-2024,Team-Crystal-Palace
9,West Ham,38,14,10,14,60,74,-14,52,1.37,52.3,71.1,-18.8,-0.49,62567,Jarrod Bowen - 16,Alphonse Areola,,2023-2024,Crystal-Palace
10,Crystal Palace,38,13,10,15,57,58,-1,49,1.29,48.6,52.0,-3.4,-0.09,24932,Jean-Philippe Mateta - 16,Sam Johnstone,,2023-2024,Crystal-Palace
11,Brighton,38,12,12,14,55,62,-7,48,1.26,56.8,55.4,1.4,0.04,32638,João Pedro - 9,Bart Verbruggen,,2023-2024,Crystal-Palace
12,Bournemouth,38,13,9,16,54,67,-13,48,1.26,55.9,58.1,-2.2,-0.06,11103,Dominic Solanke - 19,Neto,,2023-2024,Crystal-Palace
