Rk,Squad,Home-MP,Home-W,Home-D,Home-L,Home-GF,Home-GA,Home-GD,Home-Pts,Home-Pts/MP,Home-xG,Home-xGA,Home-xGD,Home-xGD/90,Away-MP,Away-W,Away-D,Away-L,Away-GF,Away-GA,Away-GD,Away-Pts,Away-Pts/MP,Away-xG,Away-xGA,Away-xGD,Away-xGD/90,Season-Unnamed: 28_level_1,Team-Unnamed: 29_level_1
4,Aston Villa,19,12,4,3,48,28,20,40,2.11,39.0,26.3,12.7,0.67,19,8,4,7,28,33,-5,28,1.47,24.3,33.6,-9.3,-0.49,2023-2024,Chelsea
5,Tottenham,19,13,0,6,38,27,11,39,2.05,39.2,29.3,9.9,0.52,19,7,6,6,36,34,2,27,1.42,28.9,34.1,-5.2,-0.27,2023-2024,Chelsea
6,Chelsea,19,11,4,4,44,26,18,37,1.95,44.2,24.9,19.2,1.01,19,7,5,7,33,37,-4,26,1.37,30.3,33.1,-2.8,-0.15,2023-2024,Chelsea
7,Newcastle Utd,19,12,4,3,49,22,27,40,2.11,46.4,25.0,21.4,1.12,19,6,2,11,36,40,-4,20,1.05,29.6,36.4,-6.7,-0.36,2023-2024,Chelsea
8,Manchester Utd,19,10,3,6,31,28,3,33,1.74,32.3,31.5,0.8,0.04,19,8,3,8,26,30,-4,27,1.42,24.1,37.4,-13.2,-0.7,2023-2024,Chelsea
