Player,Nation,Pos,Age,Playing Time-MP,Playing Time-Min,Playing Time-Mn/MP,Playing Time-Min%,Playing Time-90s,Starts-Starts,Starts-Mn/Start,Starts-Compl,Subs-Subs,Subs-Mn/Sub,Subs-unSub,Team Success-PPM,Team Success-onG,Team Success-onGA,Team Success-+/-,Team Success-+/-90,Team Success-On-Off,Team Success (xG)-onxG,Team Success (xG)-onxGA,Team Success (xG)-xG+/-,Team Success (xG)-xG+/-90,Team Success (xG)-On-Off,Matches,Season-Unnamed: 27_level_1,Team-Unnamed: 28_level_1
Ian Poveda,eng ENG,"MF,FW",23.0,7,150.0,21.0,3.6,1.7,1,90.0,1,6,10.0,15,1.57,2.0,1.0,1.0,0.6,-0.23,2.0,2.1,-0.1,-0.08,-1.02,Matches,2023-2024,Nott'ham-Forest
Charlie Cresswell,eng ENG,DF,20.0,5,137.0,27.0,3.3,1.5,1,90.0,1,4,12.0,21,2.0,1.0,2.0,-1.0,-0.66,-1.53,1.1,1.9,-0.9,-0.57,-1.52,Matches,2023-2024,Nott'ham-Forest
Karl Darlow,wls WAL,GK,32.0,2,126.0,63.0,3.0,1.4,1,90.0,1,1,36.0,35,0.0,1.0,3.0,-2.0,-1.43,-2.33,1.8,1.5,0.3,0.24,-0.68,Matches,2023-2024,Nott'ham-Forest
Kristoffer Klaesson,no NOR,GK,22.0,1,90.0,90.0,2.2,1.0,1,90.0,1,0,,11,3.0,3.0,0.0,3.0,3.0,2.22,2.8,0.5,2.3,2.32,1.45,Matches,2023-2024,Nott'ham-Forest
Leo Fuhr Hjelde,no NOR,DF,19.0,1,45.0,45.0,1.1,0.5,1,45.0,0,0,,3,1.0,0.0,2.0,-2.0,-4.0,-4.88,0.7,1.1,-0.4,-0.82,-1.74,Matches,2023-2024,Nott'ham-Forest
Mateo Joseph,es ESP,"FW,MF",19.0,20,234.0,12.0,5.7,2.6,0,,0,20,12.0,9,1.73,5.0,4.0,1.0,0.38,-0.47,6.8,1.8,5.0,1.92,1.08,Matches,2023-2024,Nott'ham-Forest
Cody Drameh,eng ENG,DF,21.0,1,22.0,22.0,0.5,0.2,0,,0,1,22.0,2,3.0,0.0,1.0,-1.0,-4.09,-4.94,0.1,0.6,-0.5,-1.92,-2.83,Matches,2023-2024,Nott'ham-Forest
Sam Greenwood,eng ENG,MF,21.0,1,8.0,8.0,0.2,0.1,0,,0,1,8.0,1,1.0,0.0,0.0,0.0,0.0,-0.83,0.1,0.0,0.1,1.16,0.26,Matches,2023-2024,Nott'ham-Forest
Darko Gyabi,eng ENG,MF,19.0,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,4,3.0,0.0,1.0,-1.0,-90.0,-90.85,0.0,0.0,0.0,-4.27,-5.17,Matches,2023-2024,Nott'ham-Forest
Sonny Perkins,eng ENG,FW,19.0,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,0,1.0,1.0,0.0,1.0,90.0,89.2,0.1,0.0,0.1,9.02,8.12,Matches,2023-2024,Nott'ham-Forest
Lewis Bate,eng ENG,MF,20.0,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,2023-2024,Nott'ham-Forest
Charlie Crew,wls WAL,MF,17.0,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,2023-2024,Nott'ham-Forest
Dani van den Heuvel,nl NED,GK,20.0,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,2023-2024,Nott'ham-Forest
Squad Total,,,24.0,46,4140.0,90.0,100.0,46.0,506,85.0,305,200,14.0,211,1.96,81.0,43.0,38.0,0.83,,79.5,38.0,41.4,0.9,,,2023-2024,Nott'ham-Forest
Opponent Total,,,26.1,46,4140.0,90.0,100.0,46.0,506,85.0,314,189,20.0,225,0.85,43.0,81.0,-38.0,-0.83,,38.0,79.5,-41.4,-0.9,,,2023-2024,Nott'ham-Forest
