Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0,Season,Team
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,,
Ederson,br BRA,GK,29.0,33,33,2785,30.9,27,0.87,82,56,70.7,24,6,3,10,30.3,3,3,0,0,0.0,Matches,2023-2024,Manchester-City
Stefan Ortega,de GER,GK,30.0,9,5,635,7.1,7,0.99,27,20,74.1,4,1,0,3,60.0,0,0,0,0,,Matches,2023-2024,Manchester-City
Squad Total,,,26.6,38,38,3420,38.0,34,0.89,109,76,71.6,28,7,3,13,34.2,3,3,0,0,0.0,,2023-2024,Manchester-City
Opponent Total,,,26.4,38,38,3420,38.0,96,2.53,273,179,68.1,3,7,28,3,7.9,10,9,0,1,0.0,,2023-2024,Manchester-City
