Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0,Season,Team
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches,,
Illan Meslier,fr FRA,GK,23.0,43.6,40,1,0,8,2,34.9,0.29,-3.1,-0.07,98,397,24.7,1732,193,19.0,27.3,160,42.5,41.1,489,24,4.9,50,1.15,12.9,Matches,2023-2024,Nott'ham-Forest
Karl Darlow,wls WAL,GK,32.0,1.4,3,0,0,0,0,1.8,0.37,-1.2,-0.83,5,11,45.5,51,6,19.6,29.1,8,12.5,31.6,24,0,0.0,0,0.0,12.8,Matches,2023-2024,Nott'ham-Forest
Kristoffer Klaesson,no NOR,GK,22.0,1.0,0,0,0,0,0,0.0,0.02,0.0,0.02,3,10,30.0,24,3,25.0,30.4,7,57.1,43.3,5,0,0.0,0,0.0,,Matches,2023-2024,Nott'ham-Forest
Squad Total,,,24.0,46.0,43,1,0,8,2,36.8,0.29,-4.2,-0.09,106,418,25.4,1715,202,20.1,29.1,267,27.3,30.0,518,24,4.6,50,1.09,12.8,,2023-2024,Nott'ham-Forest
Opponent Total,,,26.1,46.0,81,7,0,7,3,81.1,0.32,3.1,0.07,269,782,34.4,1337,180,42.8,36.5,385,54.5,41.6,585,19,3.2,49,1.07,15.5,,2023-2024,Nott'ham-Forest
