Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0,Season,Team
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches,,
José Sá,pt POR,GK,30.0,33.7,58,8,1,7,1,65.9,0.31,8.9,0.26,87,424,20.5,841,190,33.3,33.0,253,56.9,42.6,522,45,8.6,28,0.83,12.6,Matches,2023-2024,Wolverhampton-Wanderers
Daniel Bentley,eng ENG,GK,30.0,4.3,7,0,0,0,0,5.8,0.39,-1.2,-0.28,13,56,23.2,111,9,36.0,33.8,33,48.5,36.9,50,0,0.0,3,0.7,13.3,Matches,2023-2024,Wolverhampton-Wanderers
Squad Total,,,26.6,38.0,65,8,1,7,1,71.7,0.32,7.7,0.2,100,480,20.8,933,199,34.3,,305,52.5,40.0,572,45,7.9,31,0.82,,,2023-2024,Wolverhampton-Wanderers
Opponent Total,,,26.4,38.0,50,4,0,10,3,46.0,0.28,-1.0,-0.03,124,405,30.6,1076,177,28.0,30.7,250,41.6,34.0,473,35,7.4,80,2.11,19.2,,2023-2024,Wolverhampton-Wanderers
