Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0,Season,Team
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,,
Sam Johnstone,eng ENG,GK,30.0,20,20,1796,20.0,27,1.35,67,41,62.7,5,6,9,6,30.0,2,2,0,0,0.0,Matches,2023-2024,Crystal-Palace
Dean Henderson,eng ENG,GK,26.0,18,18,1620,18.0,30,1.67,86,57,66.3,8,4,6,4,22.2,1,1,0,0,0.0,Matches,2023-2024,Crystal-Palace
Remi Matthews,eng ENG,GK,29.0,1,0,4,0.0,1,22.5,1,0,0.0,0,0,0,0,,0,0,0,0,,Matches,2023-2024,Crystal-Palace
Squad Total,,,26.7,38,38,3420,38.0,58,1.53,154,98,64.3,13,10,15,10,26.3,3,3,0,0,0.0,,2023-2024,Crystal-Palace
Opponent Total,,,26.3,38,38,3420,38.0,57,1.5,166,110,68.1,15,10,13,7,18.4,4,4,0,0,0.0,,2023-2024,Crystal-Palace
