Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0,Season,Team
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,,
Neto,br BRA,GK,34.0,32,32,2880,32.0,55,1.72,165,110,69.7,10,9,13,7,21.9,6,5,1,0,16.7,Matches,2023-2024,Bournemouth
Mark Travers,ie IRL,GK,24.0,4,4,360,4.0,5,1.25,18,13,77.8,2,0,2,2,50.0,1,1,0,0,0.0,Matches,2023-2024,Bournemouth
Ionuț Radu,ro ROU,GK,26.0,2,2,180,2.0,7,3.5,11,4,36.4,1,0,1,0,0.0,0,0,0,0,,Matches,2023-2024,Bournemouth
Squad Total,,,25.7,38,38,3420,38.0,67,1.76,194,127,68.6,13,9,16,9,23.7,7,6,1,0,14.3,,2023-2024,Bournemouth
Opponent Total,,,26.2,38,38,3420,38.0,54,1.42,177,125,70.6,16,9,13,7,18.4,3,2,0,1,0.0,,2023-2024,Bournemouth
