Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0,Season,Team
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches,,
Alisson,br BRA,GK,30.0,28.0,30,1,0,4,1,28.7,0.26,-0.3,-0.01,60,183,32.8,1021,140,14.1,24.7,116,33.6,33.3,299,13,4.3,33,1.18,17.7,Matches,2023-2024,Liverpool
Caoimhín Kelleher,ie IRL,GK,24.0,10.0,11,0,0,3,1,11.3,0.3,1.3,0.13,32,102,31.4,411,52,22.4,27.3,28,35.7,34.9,77,5,6.5,13,1.3,17.0,Matches,2023-2024,Liverpool
Squad Total,,,26.3,38.0,41,1,0,7,2,40.0,0.27,1.0,0.03,92,285,32.3,1348,192,17.0,,228,24.6,27.5,376,18,4.8,46,1.21,,,2023-2024,Liverpool
Opponent Total,,,26.2,38.0,86,6,1,11,6,82.3,0.28,2.3,0.06,168,666,25.2,1001,182,44.0,36.9,365,61.9,44.8,664,52,7.8,55,1.45,14.5,,2023-2024,Liverpool
