Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0,Season,Team
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches,,
David Raya,es ESP,GK,27.0,32.0,24,2,1,5,1,20.4,0.26,-2.6,-0.08,138,372,37.1,969,159,32.2,30.7,96,62.5,47.5,329,40,12.2,50,1.56,17.9,Matches,2023-2024,Arsenal
Aaron Ramsdale,eng ENG,GK,25.0,6.0,5,0,0,1,0,3.7,0.26,-1.3,-0.22,19,69,27.5,169,30,34.9,33.3,19,52.6,41.4,46,8,17.4,9,1.5,14.6,Matches,2023-2024,Arsenal
Squad Total,,,25.0,38.0,29,2,1,6,1,24.1,0.26,-3.9,-0.1,157,441,35.6,1058,189,35.1,,195,35.9,31.1,375,48,12.8,59,1.55,,,2023-2024,Arsenal
Opponent Total,,,26.3,38.0,91,10,0,14,5,70.5,0.28,-15.5,-0.41,213,652,32.7,1193,125,39.6,35.3,328,54.9,40.6,518,28,5.4,36,0.95,12.7,,2023-2024,Arsenal
