Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0,Season,Team
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,,
Ben Godfrey,eng ENG,DF,25.0,12.4,0,15,3,20.0,1.21,0.24,0.0,0.0,12.0,0,0,0,1.7,1.7,0.12,-1.7,-1.7,Matches,2023-2024,Everton
Nathan Patterson,sct SCO,DF,21.0,11.2,0,4,0,0.0,0.36,0.0,0.0,,20.9,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches,2023-2024,Everton
Beto,gw GNB,FW,25.0,10.6,3,42,12,28.6,3.97,1.14,0.07,0.25,14.7,0,0,1,6.8,6.0,0.14,-3.8,-3.0,Matches,2023-2024,Everton
Séamus Coleman,ie IRL,DF,34.0,7.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2023-2024,Everton
Arnaut Danjuma,nl NED,"MF,FW",26.0,6.6,1,25,9,36.0,3.78,1.36,0.04,0.11,16.0,1,0,0,2.6,2.6,0.1,-1.6,-1.6,Matches,2023-2024,Everton
Michael Keane,eng ENG,DF,30.0,4.9,1,6,4,66.7,1.23,0.82,0.17,0.25,10.8,0,0,0,0.7,0.7,0.12,0.3,0.3,Matches,2023-2024,Everton
André Gomes,pt POR,"MF,FW",30.0,5.6,1,8,4,50.0,1.42,0.71,0.13,0.25,22.4,2,0,0,0.3,0.3,0.04,0.7,0.7,Matches,2023-2024,Everton
Alex Iwobi,ng NGA,MF,27.0,1.6,0,4,2,50.0,2.57,1.29,0.0,0.0,16.2,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches,2023-2024,Everton
Lewis Dobbin,eng ENG,MF,20.0,2.6,1,5,2,40.0,1.94,0.78,0.2,0.5,15.6,0,0,0,0.3,0.3,0.06,0.7,0.7,Matches,2023-2024,Everton
Youssef Chermiti,pt POR,FW,19.0,2.3,0,7,2,28.6,3.03,0.87,0.0,0.0,14.6,0,0,0,0.7,0.7,0.1,-0.7,-0.7,Matches,2023-2024,Everton
Neal Maupay,fr FRA,FW,26.0,1.2,0,5,4,80.0,4.05,3.24,0.0,0.0,12.5,0,0,0,1.4,1.4,0.29,-1.4,-1.4,Matches,2023-2024,Everton
Thomas Cannon,ie IRL,FW,20.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2023-2024,Everton
Tyler Onyango,eng ENG,MF,20.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2023-2024,Everton
Lewis Warrington,eng ENG,FW,20.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2023-2024,Everton
Squad Total,,,27.1,38.0,40,504,152,30.2,13.26,4.0,0.08,0.25,16.7,14,2,3,54.0,51.6,0.11,-14.0,-13.6,,2023-2024,Everton
Opponent Total,,,26.3,38.0,48,530,157,29.6,13.95,4.13,0.08,0.25,16.9,12,8,8,55.2,49.1,0.1,-7.2,-9.1,,2023-2024,Everton
