Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0,Season,Team
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches,,
Emiliano Martínez,ar ARG,GK,30.0,33.5,48,1,0,10,4,50.8,0.37,6.8,0.2,121,332,36.4,1270,157,21.0,27.7,159,40.9,36.1,373,45,12.1,69,2.06,17.5,Matches,2023-2024,Aston-Villa
Robin Olsen,se SWE,GK,33.0,4.5,13,0,1,0,0,11.1,0.3,-1.9,-0.43,15,48,31.3,176,19,20.5,27.1,27,44.4,35.9,46,6,13.0,1,0.22,8.4,Matches,2023-2024,Aston-Villa
Squad Total,,,26.9,38.0,61,1,1,10,4,61.9,0.36,4.9,0.13,136,380,35.8,1386,176,21.8,,246,31.7,29.5,419,51,12.2,70,1.84,,,2023-2024,Aston-Villa
Opponent Total,,,26.2,38.0,76,4,1,7,4,62.1,0.33,-9.9,-0.26,136,334,40.7,820,163,29.0,31.6,228,42.1,36.3,476,33,6.9,62,1.63,15.4,,2023-2024,Aston-Villa
