Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0,Season,Team
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,,
Alphonse Areola,fr FRA,GK,30.0,31,31,2699,30.0,53,1.77,188,136,74.5,11,9,11,4,12.9,7,5,2,0,28.6,Matches,2023-2024,West-Ham-United
Łukasz Fabiański,pl POL,GK,38.0,10,7,721,8.0,21,2.62,53,33,66.0,3,1,3,1,14.3,3,3,0,0,0.0,Matches,2023-2024,West-Ham-United
Squad Total,,,28.3,38,38,3420,38.0,74,1.95,241,169,72.6,14,10,14,5,13.2,10,8,2,0,20.0,,2023-2024,West-Ham-United
Opponent Total,,,26.1,38,38,3420,38.0,60,1.58,151,92,62.9,14,10,14,8,21.1,5,4,1,0,20.0,,2023-2024,West-Ham-United
