Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0,Season,Team
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,,
Illan Meslier,fr FRA,GK,23.0,44,44,3922,43.6,40,0.92,121,83,67.8,26,9,9,18,40.9,1,1,0,0,0.0,Matches,2023-2024,Nott'ham-Forest
Karl Darlow,wls WAL,GK,32.0,2,1,126,1.4,3,2.14,5,2,40.0,0,0,1,0,0.0,0,0,0,0,,Matches,2023-2024,Nott'ham-Forest
Kristoffer Klaesson,no NOR,GK,22.0,1,1,90,1.0,0,0.0,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,2023-2024,Nott'ham-Forest
Squad Total,,,24.0,46,46,4138,46.0,43,0.94,127,86,66.9,27,9,10,19,41.3,1,1,0,0,0.0,,2023-2024,Nott'ham-Forest
Opponent Total,,,26.1,46,46,4139,46.0,81,1.76,236,158,68.6,10,9,27,9,19.6,9,7,0,2,0.0,,2023-2024,Nott'ham-Forest
