Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0,Season,Team
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,,
Wes Foderingham,eng ENG,GK,32.0,30,29,2649,29.4,79,2.68,204,130,63.7,3,4,22,1,3.4,6,5,0,1,0.0,Matches,2023-2024,Sheffield-United
Ivo Grbić,hr CRO,GK,27.0,9,9,771,8.6,25,2.92,59,36,57.6,0,3,6,0,0.0,1,0,0,1,,Matches,2023-2024,Sheffield-United
Squad Total,,,25.7,38,38,3420,38.0,104,2.74,263,166,62.4,3,7,28,1,2.6,7,5,0,2,0.0,,2023-2024,Sheffield-United
Opponent Total,,,26.4,38,38,3420,38.0,35,0.92,122,91,75.4,28,7,3,15,39.5,5,5,0,0,0.0,,2023-2024,Sheffield-United
