Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0,Season,Team
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches,,
Martin Dúbravka,sk SVK,GK,34.0,22.1,42,4,0,5,0,42.2,0.29,0.2,0.01,56,165,33.9,480,143,15.6,25.4,169,53.3,39.1,296,20,6.8,22,1.0,12.9,Matches,2023-2024,Newcastle-United
Nick Pope,eng ENG,GK,31.0,14.9,16,0,1,2,0,16.8,0.3,0.8,0.05,41,118,34.7,304,88,21.1,28.6,95,56.8,43.8,143,9,6.3,28,1.87,19.0,Matches,2023-2024,Newcastle-United
Loris Karius,de GER,GK,30.0,1.0,4,0,0,1,1,2.0,0.29,-1.0,-0.99,3,18,16.7,27,5,48.1,36.3,9,55.6,41.8,10,1,10.0,3,3.0,19.5,Matches,2023-2024,Newcastle-United
Squad Total,,,27.2,38.0,62,4,1,8,1,61.0,0.29,0.0,0.0,100,301,33.2,803,236,18.8,,281,53.4,40.5,449,30,6.7,53,1.39,,,2023-2024,Newcastle-United
Opponent Total,,,26.2,38.0,85,8,0,7,2,77.4,0.34,-5.6,-0.15,214,680,31.5,1216,158,40.5,35.1,307,60.9,43.5,508,30,5.9,48,1.26,14.5,,2023-2024,Newcastle-United
