Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0,Season,Team
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,,
André Onana,cm CMR,GK,27.0,38,38,3420,38.0,58,1.53,203,146,74.9,18,6,14,9,23.7,7,7,0,0,0.0,Matches,2023-2024,Manchester-United
Squad Total,,,26.1,38,38,3420,38.0,58,1.53,203,146,74.9,18,6,14,9,23.7,7,7,0,0,0.0,,2023-2024,Manchester-United
Opponent Total,,,26.2,38,38,3420,38.0,57,1.5,189,131,73.0,14,6,18,9,23.7,7,6,1,0,14.3,,2023-2024,Manchester-United
