Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0,Season,Team
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,,
Bart Verbruggen,nl NED,GK,20.0,21,21,1890,21.0,28,1.33,91,63,72.5,7,8,6,4,19.0,3,3,0,0,0.0,Matches,2023-2024,Brighton-Hove-Albion
Jason Steele,eng ENG,GK,32.0,17,17,1530,17.0,34,2.0,74,42,58.1,5,4,8,2,11.8,3,3,0,0,0.0,Matches,2023-2024,Brighton-Hove-Albion
Squad Total,,,25.9,38,38,3420,38.0,62,1.63,165,105,66.1,12,12,14,6,15.8,6,6,0,0,0.0,,2023-2024,Brighton-Hove-Albion
Opponent Total,,,26.3,38,38,3420,38.0,55,1.45,204,153,75.5,14,12,12,10,26.3,6,5,1,0,16.7,,2023-2024,Brighton-Hove-Albion
