Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0,Season,Team
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches,,
Bart Verbruggen,nl NED,GK,20.0,21.0,28,3,0,3,0,25.4,0.25,-2.6,-0.12,55,142,38.7,789,117,17.1,24.4,72,9.7,15.7,232,17,7.3,31,1.48,15.8,Matches,2023-2024,Brighton-Hove-Albion
Jason Steele,eng ENG,GK,32.0,17.0,34,3,1,5,2,25.7,0.32,-6.3,-0.37,47,132,35.6,617,69,20.1,26.6,54,14.8,18.8,173,7,4.0,41,2.41,20.6,Matches,2023-2024,Brighton-Hove-Albion
Squad Total,,,25.9,38.0,62,6,1,8,2,51.1,0.28,-8.9,-0.23,102,274,37.2,1278,186,20.3,,254,5.9,12.0,405,24,5.9,72,1.89,,,2023-2024,Brighton-Hove-Albion
Opponent Total,,,26.3,38.0,55,5,0,6,5,62.8,0.28,12.8,0.34,174,626,27.8,1280,157,36.7,34.4,286,54.5,41.1,515,31,6.0,32,0.84,13.6,,2023-2024,Brighton-Hove-Albion
