Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Season,Team
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,,
9,West Ham,19,7,8,4,31,28,3,29,1.53,26.3,29.7,-3.5,-0.18,19,7,2,10,29,46,-17,23,1.21,26.1,41.4,-15.3,-0.8,2023-2024,Brighton-Hove-Albion
10,Crystal Palace,19,8,4,7,37,26,11,28,1.47,27.3,20.9,6.5,0.34,19,5,6,8,20,32,-12,21,1.11,21.2,31.1,-9.9,-0.52,2023-2024,Brighton-Hove-Albion
11,Brighton,19,8,6,5,30,27,3,30,1.58,32.1,25.4,6.8,0.36,19,4,6,9,25,35,-10,18,0.95,24.7,30.1,-5.4,-0.28,2023-2024,Brighton-Hove-Albion
12,Bournemouth,19,7,6,6,27,28,-1,27,1.42,27.4,24.3,3.1,0.17,19,6,3,10,27,39,-12,21,1.11,28.5,33.8,-5.3,-0.28,2023-2024,Brighton-Hove-Albion
13,Fulham,19,9,2,8,31,24,7,29,1.53,27.9,27.8,0.1,0.0,19,4,6,9,24,37,-13,18,0.95,22.9,35.1,-12.2,-0.64,2023-2024,Brighton-Hove-Albion
