Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0,Season,Team
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,,
Ben Brereton,cl CHI,"FW,MF",24.0,12.3,6,34,16,47.1,2.77,1.3,0.15,0.31,14.5,0,1,1,6.1,5.3,0.16,-0.1,-0.3,Matches,2023-2024,Sheffield-United
Andre Brooks,eng ENG,"MF,DF",19.0,10.4,0,9,2,22.2,0.86,0.19,0.0,0.0,19.5,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches,2023-2024,Sheffield-United
George Baldock,gr GRE,DF,30.0,10.8,0,1,0,0.0,0.09,0.0,0.0,,22.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,2023-2024,Sheffield-United
Oliver Arblaster,eng ENG,MF,19.0,10.5,0,1,1,100.0,0.1,0.1,0.0,0.0,16.6,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,2023-2024,Sheffield-United
Luke Thomas,eng ENG,DF,22.0,10.2,0,6,1,16.7,0.59,0.1,0.0,0.0,15.1,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches,2023-2024,Sheffield-United
William Osula,dk DEN,FW,19.0,8.7,0,21,8,38.1,2.4,0.92,0.0,0.0,14.4,0,0,0,1.6,1.6,0.08,-1.6,-1.6,Matches,2023-2024,Sheffield-United
Ivo Grbić,hr CRO,GK,27.0,8.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2023-2024,Sheffield-United
Mason Holgate,eng ENG,DF,26.0,7.9,0,3,0,0.0,0.38,0.0,0.0,,6.5,0,0,0,0.6,0.6,0.22,-0.6,-0.6,Matches,2023-2024,Sheffield-United
Yasser Larouci,dz ALG,DF,22.0,5.9,0,6,1,16.7,1.02,0.17,0.0,0.0,19.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,2023-2024,Sheffield-United
John Egan,ie IRL,DF,30.0,5.4,0,3,1,33.3,0.56,0.19,0.0,0.0,10.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,2023-2024,Sheffield-United
Max Lowe,eng ENG,"DF,MF",26.0,5.6,0,2,0,0.0,0.36,0.0,0.0,,10.4,0,0,0,0.6,0.6,0.29,-0.6,-0.6,Matches,2023-2024,Sheffield-United
Anis Ben Slimane,tn TUN,MF,22.0,4.7,0,8,3,37.5,1.72,0.64,0.0,0.0,18.2,0,0,0,0.8,0.8,0.1,-0.8,-0.8,Matches,2023-2024,Sheffield-United
Bénie Traoré,ci CIV,"FW,MF",20.0,4.3,0,1,1,100.0,0.23,0.23,0.0,0.0,15.3,0,0,0,0.3,0.3,0.27,-0.3,-0.3,Matches,2023-2024,Sheffield-United
Rhian Brewster,eng ENG,"FW,MF",23.0,3.8,0,7,3,42.9,1.82,0.78,0.0,0.0,23.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches,2023-2024,Sheffield-United
Chris Basham,eng ENG,"DF,MF",35.0,3.6,0,2,0,0.0,0.56,0.0,0.0,,10.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,2023-2024,Sheffield-United
Tom Davies,eng ENG,MF,25.0,2.5,0,4,1,25.0,1.63,0.41,0.0,0.0,15.4,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches,2023-2024,Sheffield-United
Rhys Norrington-Davies,wls WAL,DF,24.0,1.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2023-2024,Sheffield-United
John Fleck,sct SCO,"MF,DF",31.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2023-2024,Sheffield-United
Sam Curtis,ie IRL,DF,17.0,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2023-2024,Sheffield-United
Daniel Jebbison,eng ENG,FW,19.0,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2023-2024,Sheffield-United
Antwoine Hackford,eng ENG,FW,19.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2023-2024,Sheffield-United
Sydie Peck,eng ENG,MF,18.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2023-2024,Sheffield-United
Ryan One,sct SCO,FW,17.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2023-2024,Sheffield-United
Squad Total,,,25.7,38.0,31,360,117,32.5,9.47,3.08,0.07,0.22,17.4,8,5,5,38.3,34.4,0.1,-7.3,-8.4,,2023-2024,Sheffield-United
Opponent Total,,,26.4,38.0,97,671,258,38.5,17.66,6.79,0.14,0.36,16.6,14,5,7,76.7,71.2,0.11,20.3,20.8,,2023-2024,Sheffield-United
