Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,Notes,Season,Team
9,West Ham,38,14,10,14,60,74,-14,52,1.37,52.3,71.1,-18.8,-0.49,62567,Jarrod Bowen - 16,Alphonse Areola,,2023-2024,Brighton-Hove-Albion
10,Crystal Palace,38,13,10,15,57,58,-1,49,1.29,48.6,52.0,-3.4,-0.09,24932,Jean-Philippe Mateta - 16,Sam Johnstone,,2023-2024,Brighton-Hove-Albion
11,Brighton,38,12,12,14,55,62,-7,48,1.26,56.8,55.4,1.4,0.04,32638,João Pedro - 9,Bart Verbruggen,,2023-2024,Brighton-Hove-Albion
12,Bournemouth,38,13,9,16,54,67,-13,48,1.26,55.9,58.1,-2.2,-0.06,11103,Dominic Solanke - 19,Neto,,2023-2024,Brighton-Hove-Albion
13,Fulham,38,13,8,17,55,61,-6,47,1.24,50.8,62.9,-12.1,-0.32,24302,Rodrigo Muniz - 9,Bernd Leno,,2023-2024,Brighton-Hove-Albion
