Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0,Season,Team
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,,
Alisson,br BRA,GK,30.0,28,28,2520,28.0,30,1.07,109,80,73.4,16,8,4,8,28.6,1,1,0,0,0.0,Matches,2023-2024,Liverpool
Caoimhín Kelleher,ie IRL,GK,24.0,10,10,900,10.0,11,1.1,38,28,71.1,8,2,0,2,20.0,0,0,0,0,,Matches,2023-2024,Liverpool
Squad Total,,,26.3,38,38,3420,38.0,41,1.08,147,108,72.8,24,10,4,10,26.3,1,1,0,0,0.0,,2023-2024,Liverpool
Opponent Total,,,26.2,38,38,3420,38.0,86,2.26,271,189,70.5,4,10,24,3,7.9,9,6,2,1,25.0,,2023-2024,Liverpool
