Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0,Season,Team
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,,
Thomas Kaminski,be BEL,GK,30.0,38,38,3405,37.8,85,2.25,221,140,63.3,6,8,24,2,5.3,4,4,0,0,0.0,Matches,2023-2024,Luton-Town
James Shea,eng ENG,GK,32.0,1,0,15,0.2,0,0.0,2,2,100.0,0,0,0,0,,0,0,0,0,,Matches,2023-2024,Luton-Town
Squad Total,,,26.7,38,38,3420,38.0,85,2.24,223,142,63.7,6,8,24,2,5.3,4,4,0,0,0.0,,2023-2024,Luton-Town
Opponent Total,,,26.5,38,38,3420,38.0,52,1.37,139,90,66.2,24,8,6,5,13.2,5,5,0,0,0.0,,2023-2024,Luton-Town
