Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0,Season,Team
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,,
Lee Nicholls,eng ENG,GK,30.0,37,37,3305,36.7,64,1.74,162,100,62.3,7,15,15,7,18.9,3,3,0,0,0.0,Matches,2023-2024,Brentford
Chris Maxwell,wls WAL,GK,33.0,9,8,696,7.7,11,1.42,40,29,72.5,2,3,3,0,0.0,0,0,0,0,,Matches,2023-2024,Brentford
Jacob Chapman,au AUS,GK,22.0,2,1,139,1.5,2,1.29,4,1,50.0,0,0,1,1,100.0,1,0,1,0,100.0,Matches,2023-2024,Brentford
Squad Total,,,26.4,46,46,4140,46.0,77,1.67,206,130,64.1,9,18,19,8,17.4,4,3,1,0,25.0,,2023-2024,Brentford
Opponent Total,,,26.0,46,46,4140,46.0,48,1.04,164,118,71.3,19,18,9,11,23.9,1,1,0,0,0.0,,2023-2024,Brentford
