Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0,Season,Team
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,,
Mark Flekken,nl NED,GK,30.0,37,37,3285,36.5,63,1.73,176,113,65.3,10,9,18,7,18.9,2,2,0,0,0.0,Matches,2023-2024,Burnley
Thomas Strakosha,al ALB,GK,28.0,2,1,135,1.5,2,1.33,8,6,75.0,0,0,1,0,0.0,0,0,0,0,,Matches,2023-2024,Burnley
Squad Total,,,26.6,38,38,3420,38.0,65,1.71,184,119,65.8,10,9,19,7,18.4,2,2,0,0,0.0,,2023-2024,Burnley
Opponent Total,,,26.1,38,38,3420,38.0,56,1.47,162,108,67.3,19,9,10,8,21.1,3,3,0,0,0.0,,2023-2024,Burnley
