Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0,Season,Team
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches,,
Guglielmo Vicario,it ITA,GK,26.0,38.0,61,7,1,8,3,60.0,0.32,2.0,0.05,53,225,23.6,1363,193,14.3,24.0,201,14.9,22.2,511,33,6.5,81,2.13,17.1,Matches,2023-2024,Tottenham-Hotspur
Squad Total,,,25.2,38.0,61,7,1,8,3,60.0,0.32,2.0,0.05,53,225,23.6,1308,193,14.9,,256,11.7,19.4,511,33,6.5,81,2.13,,,2023-2024,Tottenham-Hotspur
Opponent Total,,,26.4,38.0,74,2,0,9,5,65.6,0.31,-3.4,-0.09,285,674,42.3,1110,175,45.2,37.2,287,59.9,44.1,525,31,5.9,42,1.11,15.2,,2023-2024,Tottenham-Hotspur
