Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0,Season,Team
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches,,
Alphonse Areola,fr FRA,GK,30.0,30.0,53,5,0,3,3,52.1,0.24,2.1,0.07,160,430,37.2,643,144,43.9,36.8,219,67.6,47.3,468,27,5.8,7,0.23,8.9,Matches,2023-2024,West-Ham-United
Łukasz Fabiański,pl POL,GK,38.0,8.0,21,3,0,3,1,19.8,0.33,-0.2,-0.02,50,123,40.7,182,44,50.0,39.0,56,57.1,45.1,114,8,7.0,1,0.12,7.6,Matches,2023-2024,West-Ham-United
Squad Total,,,28.3,38.0,74,8,0,6,4,72.0,0.26,2.0,0.05,210,553,38.0,793,188,46.8,,307,59.3,43.4,582,35,6.0,8,0.21,,,2023-2024,West-Ham-United
Opponent Total,,,26.1,38.0,60,4,0,12,2,53.5,0.33,-4.5,-0.12,132,401,32.9,1187,185,26.5,29.3,247,35.2,31.7,499,33,6.6,24,0.63,11.9,,2023-2024,West-Ham-United
